"IMAGE","FILE","TASK",ERROR"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jaotc","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jar","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jarsigner","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/javac","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/javadoc","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/javap","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jcmd","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jconsole","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jdeprscan","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jdeps","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jfr","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jhsdb","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jimage","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jinfo","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jlink","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jmap","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jmod","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jpackage","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jps","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jrunscript","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jshell","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jstack","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jstat","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/jstatd","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/rmid","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/bin/serialver","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/jexec","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/jspawnhelper","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libattach.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libawt.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libdt_socket.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libextnet.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libfontmanager.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libharfbuzz.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libinstrument.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libj2gss.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libj2pcsc.so","unknowns-labeler","no package identified in executable file"
"adoptopenjdk:latest","/opt/java/openjdk/lib/libj2pkcs11.so","unknowns-labeler","no package identified in executable file"
