"FILE","ERROR"
"/usr/bin/addr2line","no package identified in executable file"
"/usr/bin/ar","no package identified in executable file"
"/usr/bin/arping","no package identified in executable file"
"/usr/bin/as","no package identified in executable file"
"/usr/bin/busctl","no package identified in executable file"
"/usr/bin/c++filt","no package identified in executable file"
"/usr/bin/cal","no package identified in executable file"
"/usr/bin/chacl","no package identified in executable file"
"/usr/bin/chage","no package identified in executable file"
"/usr/bin/chmem","no package identified in executable file"
"/usr/bin/choom","no package identified in executable file"
"/usr/bin/chrt","no package identified in executable file"
"/usr/bin/clockdiff","no package identified in executable file"
"/usr/bin/col","no package identified in executable file"
"/usr/bin/colcrt","no package identified in executable file"
"/usr/bin/colrm","no package identified in executable file"
"/usr/bin/column","no package identified in executable file"
"/usr/bin/coreutils","no package identified in executable file"
"/usr/bin/cyrusbdb2current","no package identified in executable file"
"/usr/bin/dbus-broker","no package identified in executable file"
"/usr/bin/dbus-broker-launch","no package identified in executable file"
"/usr/bin/debuginfod-find","no package identified in executable file"
"/usr/bin/dirmngr","no package identified in executable file"
"/usr/bin/dirmngr-client","no package identified in executable file"
"/usr/bin/dmesg","no package identified in executable file"
"/usr/bin/dwp","no package identified in executable file"
"/usr/bin/eject","no package identified in executable file"
"/usr/bin/elfedit","no package identified in executable file"
"/usr/bin/evmctl","no package identified in executable file"
"/usr/bin/fallocate","no package identified in executable file"
"/usr/bin/fincore","no package identified in executable file"
"/usr/bin/find","no package identified in executable file"
"/usr/bin/findmnt","no package identified in executable file"
"/usr/bin/flock","no package identified in executable file"
"/usr/bin/g13","no package identified in executable file"
"/usr/bin/gapplication","no package identified in executable file"
"/usr/bin/gawk","no package identified in executable file"
"/usr/bin/gdbus","no package identified in executable file"
"/usr/bin/gencat","no package identified in executable file"
"/usr/bin/getconf","no package identified in executable file"
"/usr/bin/getent","no package identified in executable file"
"/usr/bin/getfacl","no package identified in executable file"
"/usr/bin/gio","no package identified in executable file"
"/usr/bin/gio-querymodules-64","no package identified in executable file"
"/usr/bin/glib-compile-schemas","no package identified in executable file"
"/usr/bin/gpasswd","no package identified in executable file"
"/usr/bin/gpg","no package identified in executable file"
"/usr/bin/gpg-agent","no package identified in executable file"
"/usr/bin/gpg-card","no package identified in executable file"
"/usr/bin/gpg-connect-agent","no package identified in executable file"
"/usr/bin/gpg-error","no package identified in executable file"
"/usr/bin/gpg-wks-client","no package identified in executable file"
"/usr/bin/gpg-wks-server","no package identified in executable file"
"/usr/bin/gpgconf","no package identified in executable file"
"/usr/bin/gpgme-json","no package identified in executable file"
"/usr/bin/gpgparsemail","no package identified in executable file"
"/usr/bin/gpgsplit","no package identified in executable file"
"/usr/bin/gpgtar","no package identified in executable file"
"/usr/bin/gpgv","no package identified in executable file"
"/usr/bin/gprof","no package identified in executable file"
"/usr/bin/grep","no package identified in executable file"
"/usr/bin/gsettings","no package identified in executable file"
"/usr/bin/gzip","no package identified in executable file"
"/usr/bin/hardlink","no package identified in executable file"
"/usr/bin/hexdump","no package identified in executable file"
"/usr/bin/hostname","no package identified in executable file"
"/usr/bin/hostnamectl","no package identified in executable file"
"/usr/bin/iconv","no package identified in executable file"
"/usr/bin/ionice","no package identified in executable file"
"/usr/bin/ipcmk","no package identified in executable file"
"/usr/bin/ipcrm","no package identified in executable file"
"/usr/bin/ipcs","no package identified in executable file"
"/usr/bin/irqtop","no package identified in executable file"
"/usr/bin/isosize","no package identified in executable file"
"/usr/bin/journalctl","no package identified in executable file"
"/usr/bin/kill","no package identified in executable file"
"/usr/bin/last","no package identified in executable file"
"/usr/bin/lastlog","no package identified in executable file"
"/usr/bin/ld.bfd","no package identified in executable file"
"/usr/bin/ld.gold","no package identified in executable file"
"/usr/bin/less","no package identified in executable file"
"/usr/bin/lessecho","no package identified in executable file"
"/usr/bin/lesskey","no package identified in executable file"
"/usr/bin/locale","no package identified in executable file"
"/usr/bin/localectl","no package identified in executable file"
"/usr/bin/localedef","no package identified in executable file"
"/usr/bin/logger","no package identified in executable file"
"/usr/bin/login","no package identified in executable file"
"/usr/bin/loginctl","no package identified in executable file"
"/usr/bin/look","no package identified in executable file"
"/usr/bin/lsblk","no package identified in executable file"
"/usr/bin/lscpu","no package identified in executable file"
"/usr/bin/lsipc","no package identified in executable file"
"/usr/bin/lsirq","no package identified in executable file"
"/usr/bin/lslocks","no package identified in executable file"
"/usr/bin/lslogins","no package identified in executable file"
"/usr/bin/lsmem","no package identified in executable file"
"/usr/bin/lsns","no package identified in executable file"
"/usr/bin/mcookie","no package identified in executable file"
"/usr/bin/mesg","no package identified in executable file"
"/usr/bin/modulemd-validator","no package identified in executable file"
"/usr/bin/more","no package identified in executable file"
"/usr/bin/mount","no package identified in executable file"
"/usr/bin/mountpoint","no package identified in executable file"
"/usr/bin/namei","no package identified in executable file"
"/usr/bin/newgidmap","no package identified in executable file"
"/usr/bin/newgrp","no package identified in executable file"
"/usr/bin/newuidmap","no package identified in executable file"
"/usr/bin/nm","no package identified in executable file"
"/usr/bin/nsenter","no package identified in executable file"
"/usr/bin/objcopy","no package identified in executable file"
"/usr/bin/objdump","no package identified in executable file"
"/usr/bin/p11-kit","no package identified in executable file"
"/usr/bin/ping","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/bin/prlimit","no package identified in executable file"
"/usr/bin/pwmake","no package identified in executable file"
"/usr/bin/pwscore","no package identified in executable file"
"/usr/bin/ranlib","no package identified in executable file"
"/usr/bin/readelf","no package identified in executable file"
"/usr/bin/rename","no package identified in executable file"
"/usr/bin/renice","no package identified in executable file"
"/usr/bin/rev","no package identified in executable file"
"/usr/bin/rpm","no package identified in executable file"
"/usr/bin/rpm2archive","no package identified in executable file"
"/usr/bin/rpm2cpio","no package identified in executable file"
"/usr/bin/rpmdb","no package identified in executable file"
"/usr/bin/rpmkeys","no package identified in executable file"
"/usr/bin/script","no package identified in executable file"
"/usr/bin/scriptlive","no package identified in executable file"
"/usr/bin/scriptreplay","no package identified in executable file"
"/usr/bin/sed","no package identified in executable file"
"/usr/bin/setarch","no package identified in executable file"
"/usr/bin/setfacl","no package identified in executable file"
"/usr/bin/setpriv","no package identified in executable file"
"/usr/bin/setsid","no package identified in executable file"
"/usr/bin/setterm","no package identified in executable file"
"/usr/bin/size","no package identified in executable file"
"/usr/bin/sprof","no package identified in executable file"
"/usr/bin/strings","no package identified in executable file"
"/usr/bin/strip","no package identified in executable file"
"/usr/bin/su","no package identified in executable file"
"/usr/bin/systemctl","no package identified in executable file"
"/usr/bin/systemd-analyze","no package identified in executable file"
"/usr/bin/systemd-ask-password","no package identified in executable file"
"/usr/bin/systemd-cat","no package identified in executable file"
"/usr/bin/systemd-cgls","no package identified in executable file"
"/usr/bin/systemd-cgtop","no package identified in executable file"
"/usr/bin/systemd-creds","no package identified in executable file"
"/usr/bin/systemd-delta","no package identified in executable file"
"/usr/bin/systemd-detect-virt","no package identified in executable file"
"/usr/bin/systemd-dissect","no package identified in executable file"
