"FILE","ERROR"
"/usr/bin/gencat","no package identified in executable file"
"/usr/bin/getconf","no package identified in executable file"
"/usr/bin/getent","no package identified in executable file"
"/usr/bin/iconv","no package identified in executable file"
"/usr/bin/locale","no package identified in executable file"
"/usr/bin/localedef","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/bin/sprof","no package identified in executable file"
"/usr/bin/zdump","no package identified in executable file"
"/usr/lib64/audit/sotruss-lib.so","no package identified in executable file"
"/usr/lib64/gconv/ANSI_X3.110.so","no package identified in executable file"
"/usr/lib64/gconv/CP1252.so","no package identified in executable file"
"/usr/lib64/gconv/ISO8859-1.so","no package identified in executable file"
"/usr/lib64/gconv/ISO8859-15.so","no package identified in executable file"
"/usr/lib64/gconv/UNICODE.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-16.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-32.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-7.so","no package identified in executable file"
"/usr/lib64/libBrokenLocale.so.1","no package identified in executable file"
"/usr/lib64/libSegFault.so","no package identified in executable file"
"/usr/lib64/libanl.so.1","no package identified in executable file"
"/usr/lib64/libc_malloc_debug.so.0","no package identified in executable file"
"/usr/lib64/libdl.so.2","no package identified in executable file"
"/usr/lib64/libmemusage.so","no package identified in executable file"
"/usr/lib64/libmvec.so.1","no package identified in executable file"
"/usr/lib64/libnss_compat.so.2","no package identified in executable file"
"/usr/lib64/libnss_dns.so.2","no package identified in executable file"
"/usr/lib64/libnss_files.so.2","no package identified in executable file"
"/usr/lib64/libpcprofile.so","no package identified in executable file"
"/usr/lib64/libpthread.so.0","no package identified in executable file"
"/usr/lib64/librt.so.1","no package identified in executable file"
"/usr/lib64/libthread_db.so.1","no package identified in executable file"
"/usr/lib64/libutil.so.1","no package identified in executable file"
"/usr/libexec/getconf/POSIX_V6_LP64_OFF64","no package identified in executable file"
"/usr/sbin/iconvconfig","no package identified in executable file"
"/usr/sbin/ldconfig","no package identified in executable file"
"/usr/sbin/zic","no package identified in executable file"
"/var/lib/rpm/rpmdb.sqlite","failed to open sqlite3: sql: unknown driver ""sqlite"" (forgotten import?)"
