"IMAGE","FILE","TASK",ERROR"
"bash:latest","/usr/local/lib/bash/accept","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/basename","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/csv","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/cut","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/dirname","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/dsv","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/fdflags","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/finfo","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/getconf","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/head","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/id","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/ln","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/logname","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/mkdir","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/mkfifo","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/mktemp","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/mypid","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/pathchk","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/print","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/printenv","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/push","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/realpath","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/rm","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/rmdir","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/seq","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/setpgid","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/sleep","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/stat","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/strftime","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/sync","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/tee","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/truefalse","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/tty","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/uname","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/unlink","unknowns-labeler","no package identified in executable file"
"bash:latest","/usr/local/lib/bash/whoami","unknowns-labeler","no package identified in executable file"
