"FILE","ERROR"
"/lib/libnss_hesiod.so.2","no package identified in executable file"
"/bin/getconf","no package identified in executable file"
"/lib/ld-linux-x86-64.so.2","no package identified in executable file"
"/lib/libm.so.6","no package identified in executable file"
"/lib/libnss_dns.so.2","no package identified in executable file"
"/lib/libnss_files.so.2","no package identified in executable file"
"/lib/libc.so.6","no package identified in executable file"
"/lib/libnss_compat.so.2","no package identified in executable file"
"/lib/libpthread.so.0","no package identified in executable file"
"/lib/libresolv.so.2","no package identified in executable file"
