"IMAGE","FILE","TASK",ERROR"
"busybox:latest","/bin/getconf","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/ld-linux-x86-64.so.2","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libc.so.6","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libm.so.6","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libnss_compat.so.2","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libnss_dns.so.2","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libnss_files.so.2","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libnss_hesiod.so.2","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libpthread.so.0","unknowns-labeler","no package identified in executable file"
"busybox:latest","/lib/libresolv.so.2","unknowns-labeler","no package identified in executable file"
