"IMAGE","FILE","TASK",ERROR"
"cassandra:latest","/opt/cassandra/lib/javax.inject-1.jar","java-archive-cataloger","no package identified in archive"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-amd64-freebsd-6.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-amd64-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-amd64-solaris.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-ia64-hpux-11.sl","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-ia64-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-ppc-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-ppc64-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-ppc64le-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-s390x-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-sparc-solaris.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-sparc64-solaris.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-universal-macosx.dylib","file-executable-cataloger","unable to determine Macho features: invalid magic number in record at byte 0x0"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-universal-macosx.dylib","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-universal64-macosx.dylib","file-executable-cataloger","unable to determine Macho features: invalid magic number in record at byte 0x0"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-universal64-macosx.dylib","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-x86-freebsd-5.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-x86-freebsd-6.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-x86-linux.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/cassandra/lib/sigar-bin/libsigar-x86-solaris.so","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/java/openjdk/bin/jfr","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/java/openjdk/bin/jrunscript","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/java/openjdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"cassandra:latest","/opt/java/openjdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
