"FILE","ERROR"
"/usr/bin/irqtop","no package identified in executable file"
"/usr/bin/screen","no package identified in executable file"
"/usr/bin/script","no package identified in executable file"
"/usr/sbin/delpart","no package identified in executable file"
"/bin/dmesg","no package identified in executable file"
"/usr/bin/getconf","no package identified in executable file"
"/usr/libexec/sudo/system_group.so","no package identified in executable file"
"/lib/libgcc_s.so.1","no package identified in executable file"
"/usr/lib/libdrop_ambient.so.0.0.0","no package identified in executable file"
"/usr/lib/libssl.so.1.1","no package identified in executable file"
"/usr/lib/libncurses.so.6.1","no package identified in executable file"
"/usr/libexec/sudo/group_file.so","no package identified in executable file"
"/usr/bin/colcrt","no package identified in executable file"
"/usr/bin/isosize","no package identified in executable file"
"/usr/lib/libe2p.so.2.3","no package identified in executable file"
"/usr/bin/uuidgen","no package identified in executable file"
"/usr/lib/libmenu.so.6.1","no package identified in executable file"
"/usr/bin/pscap","no package identified in executable file"
"/usr/bin/setarch","no package identified in executable file"
"/usr/bin/whereis","no package identified in executable file"
"/usr/sbin/dropbear","no package identified in executable file"
"/usr/sbin/sudo_logsrvd","no package identified in executable file"
"/sbin/chcpu","no package identified in executable file"
"/usr/bin/captest","no package identified in executable file"
"/usr/bin/iperf3","no package identified in executable file"
"/sbin/badblocks","no package identified in executable file"
"/usr/bin/rev","no package identified in executable file"
"/usr/lib/libcurl.so.4.8.0","no package identified in executable file"
"/sbin/debugfs","no package identified in executable file"
"/usr/sbin/resizepart","no package identified in executable file"
"/bin/lsattr","no package identified in executable file"
"/usr/sbin/readprofile","no package identified in executable file"
"/usr/bin/ipcmk","no package identified in executable file"
"/usr/bin/netcap","no package identified in executable file"
"/sbin/dumpe2fs","no package identified in executable file"
"/sbin/fdisk","no package identified in executable file"
"/usr/bin/choom","no package identified in executable file"
"/sbin/resize2fs","no package identified in executable file"
"/usr/bin/lsirq","no package identified in executable file"
"/usr/lib/libcom_err.so.2.1","no package identified in executable file"
"/usr/lib/libpanel.so.6.1","no package identified in executable file"
"/sbin/e4crypt","no package identified in executable file"
"/usr/bin/col","no package identified in executable file"
"/usr/lib/libext2fs.so.2.4","no package identified in executable file"
"/usr/lib/libtirpc.so.3.0.0","no package identified in executable file"
"/bin/ping","no package identified in executable file"
"/sbin/blkid","no package identified in executable file"
"/sbin/mkswap","no package identified in executable file"
"/usr/lib/libuv.so.1.0.0","no package identified in executable file"
"/bin/lsblk","no package identified in executable file"
"/lib/libsmartcols.so.1.1.0","no package identified in executable file"
"/sbin/ldconfig","no package identified in executable file"
"/usr/sbin/rtcwake","no package identified in executable file"
"/sbin/cfdisk","no package identified in executable file"
"/usr/lib/libform.so.6.1","no package identified in executable file"
"/usr/libexec/sudo/sudoers.so","no package identified in executable file"
"/usr/bin/column","no package identified in executable file"
"/usr/bin/ldd","no package identified in executable file"
"/usr/bin/lscpu","no package identified in executable file"
"/usr/bin/lsipc","no package identified in executable file"
"/usr/libexec/sudo/sudo_intercept.so","no package identified in executable file"
"/lib/libatomic.so.1.2.0","no package identified in executable file"
"/sbin/findfs","no package identified in executable file"
"/usr/bin/colrm","no package identified in executable file"
"/usr/lib/libss.so.2.0","no package identified in executable file"
"/usr/sbin/addpart","no package identified in executable file"
"/sbin/fsfreeze","no package identified in executable file"
"/sbin/fstrim","no package identified in executable file"
"/usr/bin/tcpdump","no package identified in executable file"
"/usr/bin/filecap","no package identified in executable file"
"/lib/libmount.so.1.1.0","no package identified in executable file"
"/sbin/ctrlaltdel","no package identified in executable file"
"/sbin/sfdisk","no package identified in executable file"
"/usr/bin/flock","no package identified in executable file"
"/usr/bin/mcookie","no package identified in executable file"
"/usr/libexec/sudo/sample_approval.so","no package identified in executable file"
"/usr/libexec/sudo/sudo_noexec.so","no package identified in executable file"
"/usr/sbin/rdisc6","no package identified in executable file"
"/lib/ld64-uClibc-1.0.41.so","no package identified in executable file"
"/sbin/mklost+found","no package identified in executable file"
"/sbin/swapoff","no package identified in executable file"
"/lib/libfdisk.so.1.1.0","no package identified in executable file"
"/sbin/e2fsck","no package identified in executable file"
"/sbin/mkfs","no package identified in executable file"
"/usr/sbin/ldattach","no package identified in executable file"
"/sbin/logsave","no package identified in executable file"
"/usr/bin/cvtsudoers","no package identified in executable file"
"/usr/bin/setsid","no package identified in executable file"
"/bin/chattr","no package identified in executable file"
"/sbin/hwclock","no package identified in executable file"
"/usr/bin/uuidparse","no package identified in executable file"
"/sbin/filefrag","no package identified in executable file"
"/sbin/swapon","no package identified in executable file"
"/usr/bin/fincore","no package identified in executable file"
"/usr/bin/hexdump","no package identified in executable file"
"/usr/lib/libcap-ng.so.0.0.0","no package identified in executable file"
"/bin/findmnt","no package identified in executable file"
"/sbin/blkdiscard","no package identified in executable file"
