"IMAGE","FILE","TASK",ERROR"
"cirros:latest","/bin/chattr","unknowns-labeler","no package identified in executable file"
"cirros:latest","/bin/dmesg","unknowns-labeler","no package identified in executable file"
"cirros:latest","/bin/findmnt","unknowns-labeler","no package identified in executable file"
"cirros:latest","/bin/lsattr","unknowns-labeler","no package identified in executable file"
"cirros:latest","/bin/lsblk","unknowns-labeler","no package identified in executable file"
"cirros:latest","/bin/ping","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/ld64-uClibc-1.0.41.so","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libatomic.so.1.2.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libblkid.so.1.1.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libfdisk.so.1.1.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libgcc_s.so.1","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libmount.so.1.1.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libsmartcols.so.1.1.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libuClibc-1.0.41.so","unknowns-labeler","no package identified in executable file"
"cirros:latest","/lib/libuuid.so.1.3.0","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/badblocks","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/blkdiscard","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/blkid","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/blkzone","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/blockdev","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/cfdisk","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/chcpu","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/ctrlaltdel","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/debugfs","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/dhcpcd","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/dumpe2fs","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/e2freefrag","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/e2fsck","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/e2undo","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/e4crypt","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/fdisk","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/filefrag","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/findfs","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/fsfreeze","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/fstrim","unknowns-labeler","no package identified in executable file"
"cirros:latest","/sbin/hwclock","unknowns-labeler","no package identified in executable file"
