"IMAGE","FILE","TASK",ERROR"
"clearlinux:latest","/usr/bin/addpart","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/agetty","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/blkdiscard","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/blkid","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/blkpr","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/blkzone","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/blockdev","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bootctl","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bridge","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bsdcat","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bsdcpio","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bsdtar","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bsdunzip","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs-convert","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs-find-root","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs-image","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs-map-logical","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfs-select-super","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/btrfstune","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/busctl","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bzip2","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/bzip2recover","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/cal","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/capsh","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/cfdisk","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chage","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chattr","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chcpu","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chfn","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chgpasswd","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chmem","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/choom","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chpasswd","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chrt","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chsh","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/chvt","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/clr-service-restart","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/clr_power","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/col","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/colcrt","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/colrm","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/column","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/coredumpctl","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/coreutils","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/ctrlaltdel","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-cleanup-sockets","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-daemon","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-launch","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-monitor","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-run-session","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-send","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-test-tool","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-update-activation-environment","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dbus-uuidgen","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dcb","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/deallocvt","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/delpart","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/devlink","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dmesg","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/dumpkeys","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/e2fsck","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/e2label","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/e2mmpstatus","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/e4crypt","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/efibootdump","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/efibootmgr","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/eject","unknowns-labeler","no package identified in executable file"
"clearlinux:latest","/usr/bin/enosys","unknowns-labeler","no package identified in executable file"
