"IMAGE","FILE","TASK",ERROR"
"couchbase:latest","/usr/sbin/chpst","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/runit","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/runit-init","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/runsv","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/runsvchdir","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/runsvdir","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/sv","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/svlogd","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/usr/sbin/utmpset","unknowns-labeler","no package identified in executable file"
"couchbase:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
