"IMAGE","FILE","TASK",ERROR"
"crate:latest","/crate/jdk/bin/jcmd","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jfr","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jinfo","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jmap","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jps","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jrunscript","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jstack","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jstat","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/jwebserver","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/jexec","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/jspawnhelper","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libattach.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libawt.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libdt_socket.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libfontmanager.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libfreetype.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libinstrument.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libj2gss.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjava.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjavajpeg.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjawt.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjdwp.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjimage.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjli.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjsig.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libjsound.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/liblcms.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libmanagement.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libmanagement_agent.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libmanagement_ext.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libmlib_image.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libnet.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libnio.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libprefs.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/librmi.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libsimdsort.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libsplashscreen.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libsyslookup.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libverify.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/libzip.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/server/libjsig.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/jdk/lib/server/libjvm.so","unknowns-labeler","no package identified in executable file"
"crate:latest","/crate/lib/collections-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/icu4j-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/jniutils-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/js-language-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/nativeimage-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/polyglot-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/regex-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/truffle-compiler-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/truffle-runtime-24.0.1.jar","java-archive-cataloger","no package identified in archive"
"crate:latest","/crate/lib/word-24.0.1.jar","java-archive-cataloger","no package identified in archive"
