"IMAGE","FILE","TASK",ERROR"
"crux:latest","/bin/attr","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/cat","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/chacl","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/chgrp","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/chmod","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/chown","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/cp","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/dash","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/date","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/dd","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/df","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/dmesg","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/echo","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/false","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/findmnt","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/getfacl","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/getfattr","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/gzip","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/hostname","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/kill","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/ln","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/login","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/ls","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/lsblk","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/mkdir","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/mknod","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/more","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/mount","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/mountpoint","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/mv","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/pidof","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/ping","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/ping6","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/ps","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/pwd","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/readlink","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/rm","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/rmdir","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/sed","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/setfacl","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/setfattr","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/sleep","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/stty","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/sync","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/tar","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/touch","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/true","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/umount","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/uname","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/vi","unknowns-labeler","no package identified in executable file"
"crux:latest","/bin/wdctl","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/ld-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libBrokenLocale-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libSegFault.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libacl.so.1.1.0","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libanl-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libattr.so.1.1.0","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libblkid.so.1.1.0","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libc-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libcap.so.2.25","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libcidn-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libcrypt-2.27.so","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libdevmapper.so.1.02","unknowns-labeler","no package identified in executable file"
"crux:latest","/lib/libdl-2.27.so","unknowns-labeler","no package identified in executable file"
