"FILE","ERROR"
"/usr/local/lib/tdbcpostgres1.1.3/libtdbcpostgres1.1.3.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/notes.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/seen.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/ctcp.so","no package identified in executable file"
"/usr/local/lib/tdbcmysql1.1.3/libtdbcmysql1.1.3.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/pbkdf2.so","no package identified in executable file"
"/usr/local/lib/tdbc1.1.3/libtdbc1.1.3.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/ident.so","no package identified in executable file"
"/home/eggdrop/eggdrop/eggdrop-1.9.5","no package identified in executable file"
"/usr/local/lib/tdbcodbc1.1.3/libtdbcodbc1.1.3.so","no package identified in executable file"
"/usr/local/lib/itcl4.2.2/libitcl4.2.2.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/share.so","no package identified in executable file"
"/usr/local/lib/thread2.8.7/libthread2.8.7.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/filesys.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/twitch.so","no package identified in executable file"
"/usr/local/lib/sqlite3.36.0/libsqlite3.36.0.so","no package identified in executable file"
"/usr/local/bin/tclsh8.6","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/irc.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/transfer.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/console.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/dns.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/assoc.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/uptime.so","no package identified in executable file"
"/usr/local/lib/libtcl8.6.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/channels.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/blowfish.so","no package identified in executable file"
"/home/eggdrop/eggdrop/modules-1.9.5/server.so","no package identified in executable file"
