"IMAGE","FILE","TASK",ERROR"
"eggdrop:latest","/home/eggdrop/eggdrop/eggdrop-1.9.5","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/assoc.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/blowfish.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/channels.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/console.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/ctcp.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/dns.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/filesys.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/ident.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/irc.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/notes.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/pbkdf2.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/seen.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/server.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/share.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/transfer.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/twitch.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/home/eggdrop/eggdrop/modules-1.9.5/uptime.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/bin/tclsh8.6","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/itcl4.2.2/libitcl4.2.2.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/libtcl8.6.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/sqlite3.36.0/libsqlite3.36.0.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/tdbc1.1.3/libtdbc1.1.3.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/tdbcmysql1.1.3/libtdbcmysql1.1.3.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/tdbcodbc1.1.3/libtdbcodbc1.1.3.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/tdbcpostgres1.1.3/libtdbcpostgres1.1.3.so","unknowns-labeler","no package identified in executable file"
"eggdrop:latest","/usr/local/lib/thread2.8.7/libthread2.8.7.so","unknowns-labeler","no package identified in executable file"
