"IMAGE","FILE","ERROR"
"elixir:latest","/usr/local/lib/erlang/bin/ct_run","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/dialyzer","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/erl_call","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/erlc","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/escript","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/run_erl","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/to_erl","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/bin/typer","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/ct_run","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/dialyzer","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/dyn_erl","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/epmd","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erl_call","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erl_child_setup","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erlc","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/escript","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/heart","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/inet_gethost","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/run_erl","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/to_erl","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/typer","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/erts-15.0.1/bin/yielding_c_fun","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/asn1-5.3/priv/lib/asn1rt_nif.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/crypto.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/crypto_callback.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/otp_test_engine.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/erl_interface-5.5.2/bin/erl_call","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/odbc-2.14.3/priv/bin/odbcserver","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/os_mon-2.10/priv/bin/cpu_sup","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/os_mon-2.10/priv/bin/memsup","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/dyntrace.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/trace_file_drv.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/trace_ip_drv.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/wx-2.4.2/priv/erl_gl.so","no package identified in executable file"
"elixir:latest","/usr/local/lib/erlang/lib/wx-2.4.2/priv/wxe_driver.so","no package identified in executable file"
