"IMAGE","FILE","TASK",ERROR"
"emqx:latest","/opt/emqx/dynlibs/libcrypto.so.3","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/dynlibs/libtinfo.so.6","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/beam.smp","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/dyn_erl","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/epmd","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/erl","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/erl_call","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/erl_child_setup","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/erlexec","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/escript","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/heart","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/inet_gethost","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/run_erl","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/erts-14.2.5/bin/to_erl","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/asn1-5.2.2/priv/lib/asn1rt_nif.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/bcrypt-0.6.2/priv/bcrypt_nif.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/crypto-5.4.2/priv/lib/crypto.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/crypto-5.4.2/priv/lib/crypto_callback.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/crypto-5.4.2/priv/lib/otp_test_engine.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/jiffy-1.0.6/priv/jiffy.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/jq-0.3.12/priv/erlang_jq_port","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/jq-0.3.12/priv/jq_nif1.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/os_mon-2.9.1/priv/bin/cpu_sup","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/os_mon-2.9.1/priv/bin/memsup","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/lib/libmsquic.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/lib/libmsquic.so.2","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/lib/libmsquic.so.2.2.3","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/libquicer_nif.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/libquicer_nif.so.0.0.313","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/quicer-0.0.313/priv/libquicer_nif.so.1","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/rocksdb-1.8.0/priv/liberocksdb.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/runtime_tools-2.0.1/priv/lib/dyntrace.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/runtime_tools-2.0.1/priv/lib/trace_file_drv.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/runtime_tools-2.0.1/priv/lib/trace_ip_drv.so","unknowns-labeler","no package identified in executable file"
"emqx:latest","/opt/emqx/lib/snappyer-1.2.9/priv/snappyer.so","unknowns-labeler","no package identified in executable file"
