"IMAGE","FILE","TASK",ERROR"
"erlang:latest","/usr/local/lib/erlang/bin/ct_run","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/dialyzer","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/erl_call","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/erlc","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/escript","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/run_erl","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/to_erl","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/bin/typer","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/ct_run","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/dialyzer","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/dyn_erl","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/epmd","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erl_call","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erl_child_setup","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/erlc","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/escript","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/heart","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/inet_gethost","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/run_erl","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/to_erl","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/typer","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/erts-15.0.1/bin/yielding_c_fun","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/asn1-5.3/priv/lib/asn1rt_nif.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/crypto.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/crypto_callback.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/crypto-5.5/priv/lib/otp_test_engine.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/erl_interface-5.5.2/bin/erl_call","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/odbc-2.14.3/priv/bin/odbcserver","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/os_mon-2.10/priv/bin/cpu_sup","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/os_mon-2.10/priv/bin/memsup","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/dyntrace.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/trace_file_drv.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/runtime_tools-2.1/priv/lib/trace_ip_drv.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/wx-2.4.2/priv/erl_gl.so","unknowns-labeler","no package identified in executable file"
"erlang:latest","/usr/local/lib/erlang/lib/wx-2.4.2/priv/wxe_driver.so","unknowns-labeler","no package identified in executable file"
