"FILE","ERROR"
"/usr/bin/[","no package identified in executable file"
"/usr/bin/arch","no package identified in executable file"
"/usr/bin/base64","no package identified in executable file"
"/usr/bin/basename","no package identified in executable file"
"/usr/bin/cal","no package identified in executable file"
"/usr/bin/cat","no package identified in executable file"
"/usr/bin/chage","no package identified in executable file"
"/usr/bin/chcon","no package identified in executable file"
"/usr/bin/chfn","no package identified in executable file"
"/usr/bin/chgrp","no package identified in executable file"
"/usr/bin/chmod","no package identified in executable file"
"/usr/bin/chown","no package identified in executable file"
"/usr/bin/chrt","no package identified in executable file"
"/usr/bin/chsh","no package identified in executable file"
"/usr/bin/cksum","no package identified in executable file"
"/usr/bin/clear","no package identified in executable file"
"/usr/bin/cmp","no package identified in executable file"
"/usr/bin/col","no package identified in executable file"
"/usr/bin/colcrt","no package identified in executable file"
"/usr/bin/colrm","no package identified in executable file"
"/usr/bin/column","no package identified in executable file"
"/usr/bin/comm","no package identified in executable file"
"/usr/bin/cp","no package identified in executable file"
"/usr/bin/cpio","no package identified in executable file"
"/usr/bin/csplit","no package identified in executable file"
"/usr/bin/curl","no package identified in executable file"
"/usr/bin/cut","no package identified in executable file"
"/usr/bin/date","no package identified in executable file"
"/usr/bin/db_archive","no package identified in executable file"
"/usr/bin/db_checkpoint","no package identified in executable file"
"/usr/bin/db_deadlock","no package identified in executable file"
"/usr/bin/db_dump","no package identified in executable file"
"/usr/bin/db_dump185","no package identified in executable file"
"/usr/bin/db_hotbackup","no package identified in executable file"
"/usr/bin/db_load","no package identified in executable file"
"/usr/bin/db_log_verify","no package identified in executable file"
"/usr/bin/db_printlog","no package identified in executable file"
"/usr/bin/db_recover","no package identified in executable file"
"/usr/bin/db_replicate","no package identified in executable file"
"/usr/bin/db_stat","no package identified in executable file"
"/usr/bin/db_tuner","no package identified in executable file"
"/usr/bin/db_upgrade","no package identified in executable file"
"/usr/bin/db_verify","no package identified in executable file"
"/usr/bin/dd","no package identified in executable file"
"/usr/bin/df","no package identified in executable file"
"/usr/bin/dgawk","no package identified in executable file"
"/usr/bin/diff","no package identified in executable file"
"/usr/bin/diff3","no package identified in executable file"
"/usr/bin/dir","no package identified in executable file"
"/usr/bin/dircolors","no package identified in executable file"
"/usr/bin/dirname","no package identified in executable file"
"/usr/bin/dmesg","no package identified in executable file"
"/usr/bin/du","no package identified in executable file"
"/usr/bin/echo","no package identified in executable file"
"/usr/bin/eject","no package identified in executable file"
"/usr/bin/env","no package identified in executable file"
"/usr/bin/expand","no package identified in executable file"
"/usr/bin/expr","no package identified in executable file"
"/usr/bin/factor","no package identified in executable file"
"/usr/bin/fallocate","no package identified in executable file"
"/usr/bin/false","no package identified in executable file"
"/usr/bin/find","no package identified in executable file"
"/usr/bin/findmnt","no package identified in executable file"
"/usr/bin/flock","no package identified in executable file"
"/usr/bin/fmt","no package identified in executable file"
"/usr/bin/fold","no package identified in executable file"
"/usr/bin/gapplication","no package identified in executable file"
"/usr/bin/gawk","no package identified in executable file"
"/usr/bin/gdbus","no package identified in executable file"
"/usr/bin/gencat","no package identified in executable file"
"/usr/bin/getconf","no package identified in executable file"
"/usr/bin/getent","no package identified in executable file"
"/usr/bin/gio","no package identified in executable file"
"/usr/bin/gio-querymodules-64","no package identified in executable file"
"/usr/bin/glib-compile-schemas","no package identified in executable file"
"/usr/bin/gpasswd","no package identified in executable file"
"/usr/bin/gpg-agent","no package identified in executable file"
"/usr/bin/gpg-connect-agent","no package identified in executable file"
"/usr/bin/gpg-error","no package identified in executable file"
"/usr/bin/gpg2","no package identified in executable file"
"/usr/bin/gpgconf","no package identified in executable file"
"/usr/bin/gpgparsemail","no package identified in executable file"
"/usr/bin/gpgsplit","no package identified in executable file"
"/usr/bin/gpgv2","no package identified in executable file"
"/usr/bin/grep","no package identified in executable file"
"/usr/bin/groups","no package identified in executable file"
"/usr/bin/gsettings","no package identified in executable file"
"/usr/bin/gzip","no package identified in executable file"
"/usr/bin/head","no package identified in executable file"
"/usr/bin/hexdump","no package identified in executable file"
"/usr/bin/hostid","no package identified in executable file"
"/usr/bin/iconv","no package identified in executable file"
"/usr/bin/id","no package identified in executable file"
"/usr/bin/idn","no package identified in executable file"
"/usr/bin/info","no package identified in executable file"
"/usr/bin/infocmp","no package identified in executable file"
"/usr/bin/infokey","no package identified in executable file"
"/usr/bin/install","no package identified in executable file"
"/usr/bin/ionice","no package identified in executable file"
"/usr/bin/ipcmk","no package identified in executable file"
"/usr/bin/ipcrm","no package identified in executable file"
"/usr/bin/ipcs","no package identified in executable file"
"/usr/bin/isosize","no package identified in executable file"
"/usr/bin/join","no package identified in executable file"
"/usr/bin/kill","no package identified in executable file"
"/usr/bin/lastlog","no package identified in executable file"
"/usr/bin/lchfn","no package identified in executable file"
"/usr/bin/lchsh","no package identified in executable file"
"/usr/bin/link","no package identified in executable file"
"/usr/bin/ln","no package identified in executable file"
"/usr/bin/locale","no package identified in executable file"
"/usr/bin/localedef","no package identified in executable file"
"/usr/bin/logger","no package identified in executable file"
"/usr/bin/login","no package identified in executable file"
"/usr/bin/logname","no package identified in executable file"
"/usr/bin/look","no package identified in executable file"
"/usr/bin/ls","no package identified in executable file"
"/usr/bin/lsblk","no package identified in executable file"
"/usr/bin/lscpu","no package identified in executable file"
"/usr/bin/lsipc","no package identified in executable file"
"/usr/bin/lslocks","no package identified in executable file"
"/usr/bin/lslogins","no package identified in executable file"
"/usr/bin/lsns","no package identified in executable file"
"/usr/bin/lua","no package identified in executable file"
"/usr/bin/luac","no package identified in executable file"
"/usr/bin/make","no package identified in executable file"
"/usr/bin/makedb","no package identified in executable file"
"/usr/bin/mcookie","no package identified in executable file"
"/usr/bin/md5sum","no package identified in executable file"
"/usr/bin/mkdir","no package identified in executable file"
"/usr/bin/mkfifo","no package identified in executable file"
"/usr/bin/mknod","no package identified in executable file"
"/usr/bin/mktemp","no package identified in executable file"
"/usr/bin/more","no package identified in executable file"
"/usr/bin/mount","no package identified in executable file"
"/usr/bin/mountpoint","no package identified in executable file"
"/usr/bin/mv","no package identified in executable file"
"/usr/bin/namei","no package identified in executable file"
"/usr/bin/newgrp","no package identified in executable file"
"/usr/bin/nice","no package identified in executable file"
"/usr/bin/nl","no package identified in executable file"
"/usr/bin/nohup","no package identified in executable file"
"/usr/bin/nproc","no package identified in executable file"
"/usr/bin/nsenter","no package identified in executable file"
"/usr/bin/numfmt","no package identified in executable file"
"/usr/bin/od","no package identified in executable file"
"/usr/bin/oldfind","no package identified in executable file"
"/usr/bin/p11-kit","no package identified in executable file"
"/usr/bin/paste","no package identified in executable file"
"/usr/bin/pathchk","no package identified in executable file"
"/usr/bin/pgawk","no package identified in executable file"
"/usr/bin/pinentry-curses","no package identified in executable file"
"/usr/bin/pinky","no package identified in executable file"
"/usr/bin/pkg-config","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/bin/pr","no package identified in executable file"
"/usr/bin/printenv","no package identified in executable file"
"/usr/bin/printf","no package identified in executable file"
"/usr/bin/prlimit","no package identified in executable file"
"/usr/bin/ptx","no package identified in executable file"
"/usr/bin/pwd","no package identified in executable file"
"/usr/bin/pwmake","no package identified in executable file"
"/usr/bin/pwscore","no package identified in executable file"
"/usr/bin/raw","no package identified in executable file"
"/usr/bin/readlink","no package identified in executable file"
"/usr/bin/realpath","no package identified in executable file"
"/usr/bin/rename","no package identified in executable file"
"/usr/bin/renice","no package identified in executable file"
"/usr/bin/rev","no package identified in executable file"
"/usr/bin/rm","no package identified in executable file"
"/usr/bin/rmdir","no package identified in executable file"
"/usr/bin/rpcgen","no package identified in executable file"
"/usr/bin/rpm","no package identified in executable file"
"/usr/bin/rpm2cpio","no package identified in executable file"
"/usr/bin/rpmdb","no package identified in executable file"
"/usr/bin/rpmkeys","no package identified in executable file"
"/usr/bin/runcon","no package identified in executable file"
"/usr/bin/script","no package identified in executable file"
"/usr/bin/scriptreplay","no package identified in executable file"
"/usr/bin/sdiff","no package identified in executable file"
"/usr/bin/sed","no package identified in executable file"
"/usr/bin/seq","no package identified in executable file"
"/usr/bin/setarch","no package identified in executable file"
"/usr/bin/setpriv","no package identified in executable file"
"/usr/bin/setsid","no package identified in executable file"
"/usr/bin/setterm","no package identified in executable file"
"/usr/bin/sha1sum","no package identified in executable file"
"/usr/bin/sha224sum","no package identified in executable file"
"/usr/bin/sha256sum","no package identified in executable file"
"/usr/bin/sha384sum","no package identified in executable file"
"/usr/bin/sha512sum","no package identified in executable file"
"/usr/bin/shred","no package identified in executable file"
"/usr/bin/shuf","no package identified in executable file"
"/usr/bin/sleep","no package identified in executable file"
"/usr/bin/sort","no package identified in executable file"
"/usr/bin/split","no package identified in executable file"
"/usr/bin/sprof","no package identified in executable file"
"/usr/bin/sqlite3","no package identified in executable file"
"/usr/bin/stat","no package identified in executable file"
"/usr/bin/stdbuf","no package identified in executable file"
"/usr/bin/stty","no package identified in executable file"
"/usr/bin/su","no package identified in executable file"
"/usr/bin/sum","no package identified in executable file"
"/usr/bin/sync","no package identified in executable file"
"/usr/bin/tabs","no package identified in executable file"
"/usr/bin/tac","no package identified in executable file"
"/usr/bin/tail","no package identified in executable file"
"/usr/bin/tailf","no package identified in executable file"
"/usr/bin/taskset","no package identified in executable file"
"/usr/bin/tee","no package identified in executable file"
"/usr/bin/test","no package identified in executable file"
"/usr/bin/testgdbm","no package identified in executable file"
"/usr/bin/tic","no package identified in executable file"
"/usr/bin/timeout","no package identified in executable file"
