"FILE","ERROR"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/operators/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/webSocket/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/baz/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/ajax/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/dot_slash_main/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/internal-compatibility/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/internal-compatibility/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/testing/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/testing/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/tslib/modules/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/malformed_package_json/package.json","failed to parse package.json file: unexpected EOF"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/symlinked/package/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/webSocket/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/term-size/vendor/macos/term-size","rust cataloger: unable to read dependency information: unknown file format"
"/usr/local/lib/node_modules/npm/node_modules/term-size/vendor/macos/term-size","no package identified in executable file"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/browser_field/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/ajax/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/dot_main/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/invalid_main/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/operators/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/incorrect_main/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/fetch/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/rxjs/src/fetch/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/safe-stable-stringify/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/ast-types/node_modules/tslib/modules/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/node_modules/resolve/test/module_dir/zmodules/bbb/package.json","encountered package.json file without a name and/or version field"
"/usr/local/share/.config/yarn/global/package.json","encountered package.json file without a name and/or version field"
