"IMAGE","FILE","TASK",ERROR"
"express-gateway:latest","/usr/local/lib/node_modules/npm/node_modules/term-size/vendor/macos/term-size","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"express-gateway:latest","/usr/local/lib/node_modules/npm/node_modules/term-size/vendor/macos/term-size","unknowns-labeler","no package identified in executable file"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/ast-types/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/module_dir/zmodules/bbb/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/baz/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'baz', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/browser_field/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'browser_field', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/dot_main/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/dot_slash_main/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/incorrect_main/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/invalid_main/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'invalid_main', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/malformed_package_json/package.json","javascript-package-cataloger","failed to parse package.json file: unexpected EOF"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/resolve/test/resolver/symlinked/package/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/ajax/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/ajax', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/fetch/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/fetch', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/internal-compatibility/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/internal-compatibility', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/operators/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/operators', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/ajax/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/ajax', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/fetch/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/fetch', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/internal-compatibility/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/internal-compatibility', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/operators/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/operators', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/testing/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/testing', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/src/webSocket/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/webSocket', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/testing/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/testing', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/rxjs/webSocket/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'rxjs/webSocket', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/safe-stable-stringify/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"express-gateway:latest","/usr/local/share/.config/yarn/global/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
