"FILE","ERROR"
"/usr/bin/chage","no package identified in executable file"
"/usr/bin/cvtsudoers","no package identified in executable file"
"/usr/bin/gencat","no package identified in executable file"
"/usr/bin/getconf","no package identified in executable file"
"/usr/bin/getent","no package identified in executable file"
"/usr/bin/gpasswd","no package identified in executable file"
"/usr/bin/iconv","no package identified in executable file"
"/usr/bin/lastlog","no package identified in executable file"
"/usr/bin/locale","no package identified in executable file"
"/usr/bin/localedef","no package identified in executable file"
"/usr/bin/newgidmap","no package identified in executable file"
"/usr/bin/newgrp","no package identified in executable file"
"/usr/bin/newuidmap","no package identified in executable file"
"/usr/bin/passwd","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/bin/sprof","no package identified in executable file"
"/usr/bin/sudo","no package identified in executable file"
"/usr/bin/sudoreplay","no package identified in executable file"
"/usr/bin/zdump","no package identified in executable file"
"/usr/lib/sysimage/rpm/rpmdb.sqlite","failed to open sqlite3: sql: unknown driver "sqlite" (forgotten import?)"
"/usr/lib64/audit/sotruss-lib.so","no package identified in executable file"
"/usr/lib64/gconv/ANSI_X3.110.so","no package identified in executable file"
"/usr/lib64/gconv/CP1252.so","no package identified in executable file"
"/usr/lib64/gconv/ISO8859-1.so","no package identified in executable file"
"/usr/lib64/gconv/ISO8859-15.so","no package identified in executable file"
"/usr/lib64/gconv/UNICODE.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-16.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-32.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-7.so","no package identified in executable file"
"/usr/lib64/libBrokenLocale.so.1","no package identified in executable file"
"/usr/lib64/libanl.so.1","no package identified in executable file"
"/usr/lib64/libc_malloc_debug.so.0","no package identified in executable file"
"/usr/lib64/libdl.so.2","no package identified in executable file"
"/usr/lib64/libmemusage.so","no package identified in executable file"
"/usr/lib64/libmvec.so.1","no package identified in executable file"
"/usr/lib64/libnss_compat.so.2","no package identified in executable file"
"/usr/lib64/libnss_dns.so.2","no package identified in executable file"
"/usr/lib64/libnss_files.so.2","no package identified in executable file"
"/usr/lib64/libpcprofile.so","no package identified in executable file"
"/usr/lib64/libpthread.so.0","no package identified in executable file"
"/usr/lib64/librt.so.1","no package identified in executable file"
"/usr/lib64/libslapi.so.2.0.200","no package identified in executable file"
"/usr/lib64/libthread_db.so.1","no package identified in executable file"
"/usr/lib64/libutil.so.1","no package identified in executable file"
"/usr/libexec/getconf/POSIX_V6_LP64_OFF64","no package identified in executable file"
"/usr/libexec/sudo/audit_json.so","no package identified in executable file"
"/usr/libexec/sudo/group_file.so","no package identified in executable file"
"/usr/libexec/sudo/libsudo_util.so.0.0.0","no package identified in executable file"
"/usr/libexec/sudo/sesh","no package identified in executable file"
"/usr/libexec/sudo/sudo_noexec.so","no package identified in executable file"
"/usr/libexec/sudo/sudoers.so","no package identified in executable file"
"/usr/libexec/sudo/system_group.so","no package identified in executable file"
"/usr/sbin/chgpasswd","no package identified in executable file"
"/usr/sbin/chpasswd","no package identified in executable file"
"/usr/sbin/groupadd","no package identified in executable file"
"/usr/sbin/groupdel","no package identified in executable file"
"/usr/sbin/groupmems","no package identified in executable file"
"/usr/sbin/groupmod","no package identified in executable file"
"/usr/sbin/grpck","no package identified in executable file"
"/usr/sbin/grpconv","no package identified in executable file"
"/usr/sbin/grpunconv","no package identified in executable file"
"/usr/sbin/iconvconfig","no package identified in executable file"
"/usr/sbin/ldconfig","no package identified in executable file"
"/usr/sbin/newusers","no package identified in executable file"
"/usr/sbin/pwck","no package identified in executable file"
"/usr/sbin/pwconv","no package identified in executable file"
"/usr/sbin/pwunconv","no package identified in executable file"
"/usr/sbin/useradd","no package identified in executable file"
"/usr/sbin/userdel","no package identified in executable file"
"/usr/sbin/usermod","no package identified in executable file"
"/usr/sbin/vipw","no package identified in executable file"
"/usr/sbin/visudo","no package identified in executable file"
"/usr/sbin/zic","no package identified in executable file"
