"FILE","ERROR"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/bigdecimal-1.4.4/bigdecimal.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/cool.io-1.8.1/cool.io_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/cool.io-1.8.1/iobuffer_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/http_parser.rb-0.8.0/ruby_http_parser.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/json-2.7.2/json/ext/generator.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/json-2.7.2/json/ext/parser.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/msgpack-1.7.2/msgpack/msgpack.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/nio4r-2.7.3/nio4r_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/oj-3.16.5/oj/oj.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/strptime-0.2.5/strptime/strptime.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/extensions/x86_64-linux-musl/3.2.0/yajl-ruby-1.4.3/yajl/yajl.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/bigdecimal-1.4.4/lib/bigdecimal.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/cool.io-1.8.1/lib/cool.io_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/cool.io-1.8.1/lib/iobuffer_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/http_parser.rb-0.8.0/lib/ruby_http_parser.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/json-2.7.2/lib/json/ext/generator.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/json-2.7.2/lib/json/ext/parser.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/msgpack-1.7.2/lib/msgpack/msgpack.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/nio4r-2.7.3/lib/nio4r_ext.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/oj-3.16.5/lib/oj/oj.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/strptime-0.2.5/lib/strptime/strptime.so","no package identified in executable file"
"/usr/lib/ruby/gems/3.2.0/gems/yajl-ruby-1.4.3/lib/yajl/yajl.so","no package identified in executable file"
