"IMAGE","FILE","TASK",ERROR"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/apcu.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/ctype.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/exif.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/gd.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/gmp.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/imagick.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/intl.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/ldap.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/memcached.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/opcache.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/pcntl.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/redis.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/sodium.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/zip.so","unknowns-labeler","no package identified in executable file"
"friendica:latest","/usr/src/friendica/addon/js_upload/file-uploader/tests/qunit/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'qunit', version: ''"
"friendica:latest","/usr/src/friendica/vendor/composer/installed.json","php-composer-installed-cataloger","failed to parse installed.json file: json: cannot unmarshal string into Go struct field parsedInstalledData.authors of type pkg.PhpComposerAuthors"
"friendica:latest","/usr/src/friendica/view/asset/es-jquery-sortable/package.json","javascript-package-cataloger","failed to parse package.json file: unable to parse package.json author: json: cannot unmarshal array into Go value of type map[string]string"
"friendica:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
