"IMAGE","FILE","TASK",ERROR"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.CSharp.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.VisualBasic.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/System.Collections.Immutable.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/System.Reflection.Metadata.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/VBCSCompiler.exe.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/csc.exe.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/mcs.exe.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/mscorlib.dll.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/aot-cache/amd64/vbc.exe.so","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Build.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Build.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Interactive.Settings.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Interactive.Settings.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Private.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Private.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Server.Shared.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Compiler.Server.Shared.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Core.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/FSharp.Core.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/api/.NETFramework/v4.0/4.4.5.0/FSharp.Core.dll","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/api/.NETFramework/v4.0/4.4.5.0/FSharp.Core.dll","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/fsc.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/fsc.exe","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/fsi.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/fsi.exe","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/usr/lib/mono/fsharp/fsiAnyCpu.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"fsharp:latest","/usr/lib/mono/fsharp/fsiAnyCpu.exe","unknowns-labeler","no package identified in executable file"
"fsharp:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
