"IMAGE","FILE","TASK",ERROR"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/balanced-match-1.0.2.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/brace-expansion-1.1.11.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/concat-map-0.0.1.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/console-browserify-1.1.0.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/core-util-is-1.0.3.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/date-now-0.1.4.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/dom-serializer-0.2.2.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/domelementtype-2.0.1.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/domhandler-2.3.0.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/domutils-1.5.1.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/entities-2.1.0.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/exit-0.1.2.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/handlebars-4.7.6.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/htmlparser2-3.8.3.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/inherits-2.0.4.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/isarray-0.0.1.jar","java-archive-cataloger","no package identified in archive"
"geonetwork:latest","/opt/geonetwork/WEB-INF/lib/javax.inject-1.jar","java-archive-cataloger","no package identified in archive"
