"IMAGE","FILE","TASK",ERROR"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/_lib/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_days/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_hours/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_iso_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_milliseconds/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_minutes/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_months/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_quarters/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_seconds/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_weeks/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/add_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/are_ranges_overlapping/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/closest_index_to/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/closest_to/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/compare_asc/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/compare_desc/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_days/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_iso_weeks/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_iso_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_months/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_quarters/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_weeks/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_calendar_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_days/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_hours/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_iso_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_milliseconds/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_minutes/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_months/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_quarters/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_seconds/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_weeks/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/difference_in_years/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/distance_in_words/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/distance_in_words_strict/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/distance_in_words_to_now/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/each_day/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/end_of_day/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"ghost:latest","/usr/local/lib/node_modules/ghost-cli/node_modules/date-fns/end_of_hour/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
