"IMAGE","FILE","TASK",ERROR"
"glassfish:latest","/usr/local/glassfish4/javadb/lib/derby.war","java-archive-cataloger","no package identified in archive"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqadmin.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqadmin.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbridgemgr.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbridgemgr.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbrokerd.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbrokerd.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbrokersvc.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqbrokersvc.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqcmd.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqcmd.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqdbmgr.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqdbmgr.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqkeytool.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqkeytool.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqobjmgr.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqobjmgr.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqsvcadmin.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqsvcadmin.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqusermgr.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"glassfish:latest","/usr/local/glassfish4/mq/bin/imqusermgr.exe","unknowns-labeler","no package identified in executable file"
"glassfish:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
