"FILE","ERROR"
"/usr/local/go/src/debug/dwarf/testdata/line-gcc-win.bin","no package identified in executable file"
"/usr/local/go/src/runtime/pprof/testdata/test64be","no package identified in executable file"
"/usr/local/go/src/runtime/race/internal/amd64v1/race_darwin.syso","rust cataloger: unable to read dependency information: unknown file format"
"/usr/local/go/src/runtime/race/internal/amd64v1/race_darwin.syso","no package identified in executable file"
"/usr/local/go/src/runtime/pprof/testdata/test64","no package identified in executable file"
"/usr/local/go/src/archive/zip/testdata/comment-truncated.zip","unable to read files from java archive: zip: not a valid zip file"
"/usr/local/go/src/debug/dwarf/testdata/line-clang-dwarf5.elf","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/typedef.macho","rust cataloger: unable to read dependency information: unknown file format"
"/usr/local/go/src/debug/dwarf/testdata/typedef.macho","no package identified in executable file"
"/usr/local/go/src/debug/elf/testdata/go-relocation-test-gcc930-ranges-with-rela-x86-64","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/ranges.elf","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/typedef.elf","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/typedef.macho4","rust cataloger: unable to read dependency information: unknown file format"
"/usr/local/go/src/debug/dwarf/testdata/typedef.macho4","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/line-gcc-dwarf5.elf","no package identified in executable file"
"/usr/local/go/src/archive/zip/testdata/test-baddirsz.zip","unable to read files from java archive: zip: not a valid zip file"
"/usr/local/go/src/runtime/pprof/testdata/test32be","no package identified in executable file"
"/usr/local/go/src/runtime/pprof/testdata/test32","no package identified in executable file"
"/usr/local/go/src/debug/pe/testdata/gcc-amd64-mingw-exec","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/split.elf","no package identified in executable file"
"/usr/local/go/src/cmd/vendor/golang.org/x/telemetry/package.json","encountered package.json file without a name and/or version field"
"/usr/local/go/src/debug/dwarf/testdata/line-gcc.elf","no package identified in executable file"
"/usr/local/go/src/archive/zip/testdata/test-badbase.zip","unable to read files from java archive: zip: not a valid zip file"
"/usr/local/go/src/debug/elf/testdata/go-relocation-test-gcc930-ranges-no-rela-x86-64","no package identified in executable file"
"/usr/local/go/src/debug/pe/testdata/gcc-386-mingw-no-symbols-exec","no package identified in executable file"
"/usr/local/go/src/runtime/race/race_darwin_arm64.syso","rust cataloger: unable to read dependency information: unknown file format"
"/usr/local/go/src/runtime/race/race_darwin_arm64.syso","no package identified in executable file"
"/usr/local/go/src/debug/elf/testdata/gcc-amd64-linux-exec","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/rnglistx.elf","no package identified in executable file"
"/usr/local/go/src/debug/elf/testdata/gcc-386-freebsd-exec","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/line-gcc-zstd.elf","no package identified in executable file"
"/usr/local/go/src/debug/dwarf/testdata/line-clang.elf","no package identified in executable file"
"/usr/local/go/src/debug/pe/testdata/gcc-386-mingw-exec","no package identified in executable file"
"/usr/local/go/src/debug/pe/testdata/vmlinuz-4.15.0-47-generic","unable to determine executable kind: unable to read enough bytes to determine executable format"
