"IMAGE","FILE","TASK",ERROR"
"golang:latest","/usr/local/go/src/archive/zip/testdata/comment-truncated.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"golang:latest","/usr/local/go/src/archive/zip/testdata/test-badbase.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"golang:latest","/usr/local/go/src/archive/zip/testdata/test-baddirsz.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"golang:latest","/usr/local/go/src/cmd/vendor/golang.org/x/telemetry/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-clang-dwarf5.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-clang.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-gcc-dwarf5.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-gcc-win.bin","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-gcc-zstd.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/line-gcc.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/ranges.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/rnglistx.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/split.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/typedef.elf","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/typedef.macho","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/typedef.macho","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/typedef.macho4","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"golang:latest","/usr/local/go/src/debug/dwarf/testdata/typedef.macho4","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/elf/testdata/gcc-386-freebsd-exec","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/elf/testdata/gcc-amd64-linux-exec","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/elf/testdata/go-relocation-test-gcc930-ranges-no-rela-x86-64","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/elf/testdata/go-relocation-test-gcc930-ranges-with-rela-x86-64","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/pe/testdata/gcc-386-mingw-exec","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/pe/testdata/gcc-386-mingw-no-symbols-exec","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/pe/testdata/gcc-amd64-mingw-exec","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/debug/pe/testdata/vmlinuz-4.15.0-47-generic","file-executable-cataloger","unable to determine executable kind: unable to read enough bytes to determine executable format"
"golang:latest","/usr/local/go/src/runtime/pprof/testdata/test32","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/runtime/pprof/testdata/test32be","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/runtime/pprof/testdata/test64","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/runtime/pprof/testdata/test64be","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/runtime/race/internal/amd64v1/race_darwin.syso","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"golang:latest","/usr/local/go/src/runtime/race/internal/amd64v1/race_darwin.syso","unknowns-labeler","no package identified in executable file"
"golang:latest","/usr/local/go/src/runtime/race/race_darwin_arm64.syso","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"golang:latest","/usr/local/go/src/runtime/race/race_darwin_arm64.syso","unknowns-labeler","no package identified in executable file"
