"IMAGE",FILE","ERROR"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-iserv-dyn-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-iserv-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-iserv-prof-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-pkg-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/ghc-toolchain-bin-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/haddock-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/hp2ps-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/hpc-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/hsc2hs-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/runghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/bin/unlit-ghc-9.10.1","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSCabal-3.12.0.0-f0c8-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSCabal-syntax-3.12.0.0-f7bd-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSarray-0.5.7.0-e908-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSbase-4.20.0.0-afc5-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSbinary-0.8.9.2-9b6f-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSbytestring-0.12.1.0-9516-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHScontainers-0.7-e549-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSdeepseq-1.5.0.0-f6ae-ghc9.10.1.so","no package identified in executable file"
"haskell:latest","/opt/ghc/9.10.1/lib/ghc-9.10.1/lib/x86_64-linux-ghc-9.10.1/libHSdirectory-1.3.8.3-36b2-ghc9.10.1.so","no package identified in executable file"
