"IMAGE","FILE","TASK",ERROR"
"haxe:latest","/usr/local/bin/haxe","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/bin/haxelib","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/bin/neko","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/bin/nekoc","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/bin/nekoml","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/bin/nekotools","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/libneko.so.2.4.0","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/mod_neko2.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/mod_tora2.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/mysql.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/mysql5.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/regexp.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/sqlite.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/ssl.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/std.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/ui.ndll","unknowns-labeler","no package identified in executable file"
"haxe:latest","/usr/local/lib/neko/zlib.ndll","unknowns-labeler","no package identified in executable file"
