"IMAGE","FILE","TASK",ERROR"
"hylang:latest","/usr/local/lib/libpython3.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_asyncio.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_bisect.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_blake2.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_bz2.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_cn.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_hk.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_iso2022.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_jp.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_kr.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_codecs_tw.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_contextvars.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_crypt.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_csv.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_ctypes.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_ctypes_test.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_curses.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_curses_panel.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_datetime.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_dbm.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_decimal.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_elementtree.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_gdbm.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_hashlib.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_heapq.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_json.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_lsprof.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_lzma.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_md5.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_multiprocessing.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_opcode.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_pickle.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_posixshmem.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_posixsubprocess.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_queue.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_random.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_sha1.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_sha2.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_sha3.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_socket.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_sqlite3.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_ssl.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_statistics.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_struct.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testbuffer.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testcapi.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testclinic.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testimportmultiple.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testinternalcapi.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
"hylang:latest","/usr/local/lib/python3.12/lib-dynload/_testmultiphase.cpython-312-x86_64-linux-gnu.so","unknowns-labeler","no package identified in executable file"
