"IMAGE","FILE","TASK",ERROR"
"ibmjava:latest","/opt/ibm/java/jre/bin/classic/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/ikeycmd","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/ikeyman","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/j9vm/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/javaw","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/javaws","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/jdmpview","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/jextract","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/jjs","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/keytool","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/kinit","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/klist","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/ktab","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/pack200","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/policytool","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/rmid","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/tnameserv","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/bin/unpack200","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/fips140-3/lib/icc/C/icc/icclib/libicclib084.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/fips140-3/lib/icc/N/icc/icclib/libicclib085.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/fips140-3/lib/icc/libjgsk8iccs_64.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/fips140-3/lib/icc/libjgskit.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/classic/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9dmp29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9gc29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9gcchk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9hookable29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jextract.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jit29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jnichk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jvmti29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9prt29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9shr29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9thr29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9trc29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9vm29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9vmchk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9vrb29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9zlib29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libjclse29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libjsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/compressedrefs/libomrsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9dmp29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9gc29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9gcchk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9hookable29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9jextract.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9jit29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9jnichk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9jvmti29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9prt29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9shr29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9thr29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9trc29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9vm29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9vmchk29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9vrb29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libj9zlib29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libjclse29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libjsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/default/libomrsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/j9vm/libjvm.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/jli/libjli.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libattach.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libawt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libcuda4j29.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libdbgwrapper80.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libdcpr.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libdeploy.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libdt_socket.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libfontmanager.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libhcapiplugin.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libhcmqtt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libhealthcenter.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libhprof.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libinstrument.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libj9fips.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjaas.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjava.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjava_crw_demo.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjawt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjdwp.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjgskit.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjpeg.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjpkcs11.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjsdt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjsound.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libjsoundalsa.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libkcms.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/liblcms.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libmanagement.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libmlib_image.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libnative_tracker.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libnet.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libnio.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libnpjp2.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libnpt.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libomrsig.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libsctp.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libsplashscreen.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libt2k.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libunpack.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libverify.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/amd64/libzip.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/dataaccess.jar","java-archive-cataloger","no package identified in archive"
"ibmjava:latest","/opt/ibm/java/jre/lib/ext/dtfj.jar","java-archive-cataloger","no package identified in archive"
"ibmjava:latest","/opt/ibm/java/jre/lib/ext/dtfjview.jar","java-archive-cataloger","no package identified in archive"
"ibmjava:latest","/opt/ibm/java/jre/lib/ext/traceformat.jar","java-archive-cataloger","no package identified in archive"
"ibmjava:latest","/opt/ibm/java/jre/lib/icc/C/icc/icclib/libicclib084.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/icc/N/icc/icclib/libicclib085.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/icc/libjgsk8iccs_64.so","unknowns-labeler","no package identified in executable file"
"ibmjava:latest","/opt/ibm/java/jre/lib/jexec","unknowns-labeler","no package identified in executable file"
