"IMAGE","FILE","TASK",ERROR"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/apcu.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/bcmath.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/bz2.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/exif.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gd.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gmp.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/imagick.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/intl.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/ldap.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/memcached.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/mysqli.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/opcache.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_pgsql.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pgsql.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/redis.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/sodium.so","unknowns-labeler","no package identified in executable file"
"joomla:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/zip.so","unknowns-labeler","no package identified in executable file"
