"IMAGE","FILE","TASK",ERROR"
"jruby:latest","/opt/java/openjdk/bin/jjs","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/orbd","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/pack200","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/policytool","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/rmid","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/servertool","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/tnameserv","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/bin/unpack200","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/jli/libjli.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libawt.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libdt_socket.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libfontmanager.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libhprof.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libinstrument.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libj2gss.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libj2pcsc.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libj2pkcs11.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjaas_unix.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjava.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjava_crw_demo.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjawt.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjdwp.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjpeg.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjsdt.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjsig.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjsound.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/libjsoundalsa.so","unknowns-labeler","no package identified in executable file"
"jruby:latest","/opt/java/openjdk/lib/amd64/liblcms.so","unknowns-labeler","no package identified in executable file"
