"IMAGE","FILE","ERROR"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/jjs","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/keytool","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/orbd","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/pack200","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/policytool","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/rmid","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/rmiregistry","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/servertool","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/tnameserv","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/bin/unpack200","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/jli/libjli.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libawt.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libawt_headless.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libawt_xawt.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libdt_socket.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libfontmanager.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libhprof.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libinstrument.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libj2gss.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libj2pcsc.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libj2pkcs11.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjaas_unix.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjava.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjava_crw_demo.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjawt.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjdwp.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjpeg.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjsdt.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjsig.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjsound.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libjsoundalsa.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/liblcms.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libmanagement.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libmlib_image.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libnet.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libnio.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libnpt.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libsctp.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libsplashscreen.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libsunec.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libunpack.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libverify.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/libzip.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/amd64/server/libjvm.so","no package identified in executable file"
"kaazing-gateway:latest","/usr/local/openjdk-8/lib/jexec","no package identified in executable file"
"kaazing-gateway:latest","/var/lib/dpkg/info/bash.preinst","no package identified in executable file"
