"IMAGE","FILE","TASK",ERROR"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/apcu.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/exif.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/gd.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/intl.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/json.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/mcrypt.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/opcache.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/xmlrpc.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20131226/zip.so","unknowns-labeler","no package identified in executable file"
"known:latest","/usr/src/known/external/Symfony/Component/Console/Resources/bin/._hiddeninput.exe","dotnet-portable-executable-cataloger","DOS Header magic not found"
"known:latest","/usr/src/known/external/mediaelement/src/._compiler.jar","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"known:latest","/usr/src/known/external/mediaelement/src/._yuicompressor-2.4.2.jar","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"known:latest","/usr/src/known/external/swiftmailer/tests/_samples/files/._textfile.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"known:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
