"FILE","ERROR"
"/usr/bin/systemd-tmpfiles","no package identified in executable file"
"/usr/lib/systemd/systemd-hostnamed","no package identified in executable file"
"/usr/lib64/libuser/libuser_files.so","no package identified in executable file"
"/usr/lib64/security/pam_console.so","no package identified in executable file"
"/usr/sbin/addpart","no package identified in executable file"
"/usr/bin/look","no package identified in executable file"
"/usr/lib64/gobject-introspection/giscanner/_giscanner.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/libkadm5clnt_mit.so.12.0","no package identified in executable file"
"/usr/bin/gio-querymodules-64","no package identified in executable file"
"/usr/bin/logger","no package identified in executable file"
"/usr/lib64/libsepol.so.2","no package identified in executable file"
"/usr/lib64/security/pam_tty_audit.so","no package identified in executable file"
"/usr/libexec/gnupg2/gpg-check-pattern","no package identified in executable file"
"/usr/bin/showkey","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_bisect.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/chkconfig","no package identified in executable file"
"/usr/bin/mktemp","no package identified in executable file"
"/usr/bin/seq","no package identified in executable file"
"/usr/bin/chown","no package identified in executable file"
"/usr/bin/sha384sum","no package identified in executable file"
"/usr/lib/systemd/systemd-growfs","no package identified in executable file"
"/usr/sbin/faillock","no package identified in executable file"
"/usr/lib64/security/pam_loginuid.so","no package identified in executable file"
"/usr/sbin/lpasswd","no package identified in executable file"
"/usr/bin/dmesg","no package identified in executable file"
"/usr/bin/p11-kit","no package identified in executable file"
"/usr/lib64/libargon2.so.1","no package identified in executable file"
"/usr/bin/[","no package identified in executable file"
"/usr/bin/tset","no package identified in executable file"
"/usr/lib64/security/pam_group.so","no package identified in executable file"
"/usr/bin/applydeltaiso","no package identified in executable file"
"/usr/bin/gpg-card","no package identified in executable file"
"/usr/lib/systemd/systemd-oomd","no package identified in executable file"
"/usr/bin/fold","no package identified in executable file"
"/usr/lib64/perl5/auto/Digest/MD5/MD5.so","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/lib64/libcap.so.2.52","no package identified in executable file"
"/usr/bin/fmt","no package identified in executable file"
"/usr/bin/setarch","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_multiprocessing.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_statistics.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.10/site-packages/gpg/_gpgme.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/sysctl","no package identified in executable file"
"/usr/lib64/libcrypto.so.3","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_sha1.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/blkid","no package identified in executable file"
"/usr/bin/colrm","no package identified in executable file"
"/usr/bin/g-ir-inspect","no package identified in executable file"
"/usr/bin/md5sum","no package identified in executable file"
"/usr/bin/nsenter","no package identified in executable file"
"/usr/lib/systemd/systemd-network-generator","no package identified in executable file"
"/usr/lib64/libpam.so.0.85.1","no package identified in executable file"
"/usr/lib64/libsigsegv.so.2.0.7","no package identified in executable file"
"/usr/sbin/alternatives","no package identified in executable file"
"/usr/sbin/blkdiscard","no package identified in executable file"
"/usr/bin/csplit","no package identified in executable file"
"/usr/bin/b2sum","no package identified in executable file"
"/usr/bin/stat","no package identified in executable file"
"/usr/bin/truncate","no package identified in executable file"
"/usr/lib64/engines-3/loader_attic.so","no package identified in executable file"
"/usr/lib64/security/pam_succeed_if.so","no package identified in executable file"
"/usr/bin/arch","no package identified in executable file"
"/usr/bin/dbus-test-tool","no package identified in executable file"
"/usr/bin/unlink","no package identified in executable file"
"/usr/sbin/groupadd","no package identified in executable file"
"/usr/bin/dbus-update-activation-environment","no package identified in executable file"
"/usr/lib64/perl5/auto/Unicode/Normalize/Normalize.so","no package identified in executable file"
"/usr/bin/namei","no package identified in executable file"
"/usr/lib64/libgdbm.so.6.0.0","no package identified in executable file"
"/usr/bin/systemd-stdio-bridge","no package identified in executable file"
"/usr/bin/true","no package identified in executable file"
"/usr/lib64/gawk/fnmatch.so","no package identified in executable file"
"/usr/lib64/libexpat.so.1.9.2","no package identified in executable file"
"/usr/lib64/libfdisk.so.1.1.0","no package identified in executable file"
"/usr/lib64/perl5/auto/Encode/Encode.so","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/peekfd","no package identified in executable file"
"/usr/bin/pmap","no package identified in executable file"
"/usr/lib64/libacl.so.1.1.2301","no package identified in executable file"
"/usr/lib64/ld-linux-x86-64.so.2","no package identified in executable file"
"/usr/lib64/libnss_dns.so.2","no package identified in executable file"
"/usr/bin/setfont","no package identified in executable file"
"/usr/lib64/libdevmapper.so.1.02","no package identified in executable file"
"/usr/lib64/perl5/vendor_perl/auto/File/Sync/Sync.so","no package identified in executable file"
"/usr/lib/libnss_db.so.2","no package identified in executable file"
"/usr/bin/update-mime-database","no package identified in executable file"
"/usr/bin/findmnt","no package identified in executable file"
"/usr/bin/kbxutil","no package identified in executable file"
"/usr/bin/taskset","no package identified in executable file"
"/usr/lib64/libsemanage.so.2","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_ssl.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/ipcs","no package identified in executable file"
"/usr/lib64/libgmp.so.10.4.1","no package identified in executable file"
"/usr/lib64/libtirpc.so.3.0.0","no package identified in executable file"
"/usr/lib64/perl5/auto/List/Util/Util.so","no package identified in executable file"
"/usr/lib64/perl5/auto/Storable/Storable.so","no package identified in executable file"
"/usr/lib64/security/pam_lastlog.so","no package identified in executable file"
"/usr/bin/makedb","no package identified in executable file"
"/usr/bin/journalctl","no package identified in executable file"
"/usr/bin/readlink","no package identified in executable file"
"/usr/bin/rev","no package identified in executable file"
"/usr/lib/systemd/systemd-random-seed","no package identified in executable file"
"/usr/lib/systemd/systemd-vconsole-setup","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_posixsubprocess.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/security/pam_listfile.so","no package identified in executable file"
"/usr/bin/who","no package identified in executable file"
"/usr/libexec/gnupg2/keyboxd","no package identified in executable file"
"/usr/lib64/libnss_db.so.2","no package identified in executable file"
"/usr/bin/less","no package identified in executable file"
"/usr/lib/systemd/system-generators/systemd-veritysetup-generator","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_lzma.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/run-parts","no package identified in executable file"
"/usr/bin/showconsolefont","no package identified in executable file"
"/usr/bin/g13","no package identified in executable file"
"/usr/bin/getkeycodes","no package identified in executable file"
"/usr/lib64/libhistory.so.8.1","no package identified in executable file"
"/usr/lib64/python3.10/lib-dynload/_codecs_iso2022.cpython-310-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/security/pam_systemd.so","no package identified in executable file"
