"IMAGE","FILE","TASK",ERROR"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/apcu.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/bcmath.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gd.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/ldap.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/mysqli.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/opcache.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/redis.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/sodium.so","unknowns-labeler","no package identified in executable file"
"matomo:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/zip.so","unknowns-labeler","no package identified in executable file"
