"IMAGE","FILE","TASK",ERROR"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/apcu.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/calendar.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/intl.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/mbstring.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/mysqli.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/opcache.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20210902/sodium.so","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_Win32_bin/lua5.1.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_Win32_bin/lua5.1.exe","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_Win64_bin/lua5.1.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_Win64_bin/lua5.1.exe","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_linux_32_generic/lua","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_linux_64_generic/lua","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_mac_lion_fat_generic/lua","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"mediawiki:latest","/var/www/html/extensions/Scribunto/includes/Engines/LuaStandalone/binaries/lua5_1_5_mac_lion_fat_generic/lua","unknowns-labeler","no package identified in executable file"
"mediawiki:latest","/var/www/html/tests/phpunit/data/zip/cd-gap.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"mediawiki:latest","/var/www/html/tests/phpunit/data/zip/looks-like-zip64.zip","java-archive-cataloger","unable to read files from java archive: unexpected EOF"
"mediawiki:latest","/var/www/html/tests/phpunit/data/zip/nosig.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
"mediawiki:latest","/var/www/html/tests/phpunit/data/zip/wrong-central-entry-sig.zip","java-archive-cataloger","unable to read files from java archive: zip: not a valid zip file"
