"FILE","ERROR"
"/usr/local/lib/node_modules/npm/node_modules/glob/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/read/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/which/node_modules/isexe/dist/cjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/read/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/tslib/modules/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/lru-cache/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/path-scurry/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/@babel/helpers/scripts/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/minipass/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/signal-exit/dist/mjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/modules/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/mongodb-extended-json/node_modules/bson/browser_build/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/lru-cache/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/minipass/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/foreground-child/dist/mjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/path-scurry/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/signal-exit/dist/cjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/which/node_modules/isexe/dist/mjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/@babel/traverse/scripts/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/html-escaper/test/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/walk-up-path/dist/mjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/jackspeak/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/minimatch/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/promise-call-limit/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/walk-up-path/dist/cjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/html-escaper/cjs/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/yargs/helpers/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/foreground-child/dist/cjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/glob/dist/commonjs/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/jackspeak/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/app/node_modules/@babel/types/scripts/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/promise-call-limit/dist/esm/package.json","encountered package.json file without a name and/or version field"
"/usr/local/lib/node_modules/npm/node_modules/minimatch/dist/esm/package.json","encountered package.json file without a name and/or version field"
