"IMAGE","FILE","TASK",ERROR"
"mongo-express:latest","/app/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/@babel/helpers/scripts/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/@babel/traverse/scripts/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/@babel/types/scripts/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/html-escaper/cjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/html-escaper/test/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/mongodb-extended-json/node_modules/bson/browser_build/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: 'bson', version: ''"
"mongo-express:latest","/app/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/app/node_modules/yargs/helpers/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/foreground-child/dist/cjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/foreground-child/dist/mjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/glob/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/glob/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/jackspeak/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/jackspeak/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/lru-cache/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/lru-cache/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/minimatch/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/minimatch/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/minipass/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/minipass/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/path-scurry/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/path-scurry/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/promise-call-limit/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/promise-call-limit/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/read/dist/commonjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/read/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/signal-exit/dist/cjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/signal-exit/dist/mjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/walk-up-path/dist/cjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/walk-up-path/dist/mjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/which/node_modules/isexe/dist/cjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"mongo-express:latest","/usr/local/lib/node_modules/npm/node_modules/which/node_modules/isexe/dist/mjs/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
