"IMAGE","FILE","TASK",ERROR"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/apcu.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/bcmath.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gd.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gmp.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/intl.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/memcached.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/mysqli.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/opcache.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_pgsql.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/redis.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/soap.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/sodium.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/zip.so","unknowns-labeler","no package identified in executable file"
"monica:latest","/var/www/html/package.json","javascript-package-cataloger","encountered package.json file without a name () and/or version () field"
