"FILE","ERROR"
"/usr/lib/mono/aot-cache/amd64/System.Reflection.Metadata.dll.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.dll.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/mscorlib.dll.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.VisualBasic.dll.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/vbc.exe.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.CSharp.dll.so","no package identified in executable file"
"/var/lib/dpkg/info/bash.preinst","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/csc.exe.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/mcs.exe.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/VBCSCompiler.exe.so","no package identified in executable file"
"/usr/lib/mono/aot-cache/amd64/System.Collections.Immutable.dll.so","no package identified in executable file"
