"IMAGE","FILE","TASK",ERROR"
"mono:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.CSharp.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.VisualBasic.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/Microsoft.CodeAnalysis.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/System.Collections.Immutable.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/System.Reflection.Metadata.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/VBCSCompiler.exe.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/csc.exe.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/mcs.exe.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/mscorlib.dll.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/usr/lib/mono/aot-cache/amd64/vbc.exe.so","unknowns-labeler","no package identified in executable file"
"mono:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
