"FILE","ERROR"
"/usr/lib64/libgobject-2.0.so.0.6800.4","no package identified in executable file"
"/usr/lib64/libmenuw.so.6.2","no package identified in executable file"
"/usr/lib64/mysql/plugin/mysql_no_login.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_contextvars.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_posixsubprocess.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/sprof","no package identified in executable file"
"/usr/lib64/libbz2.so.1.0.8","no package identified in executable file"
"/usr/lib64/libssl.so.3.0.7","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_mysqlbackup.so","no package identified in executable file"
"/usr/lib64/gawk/readdir.so","no package identified in executable file"
"/usr/lib64/libyaml-0.so.2.0.9","no package identified in executable file"
"/usr/lib64/mysql/plugin/locking_service.so","no package identified in executable file"
"/usr/libexec/gpg-check-pattern","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_str_format_internal.so","no package identified in executable file"
"/usr/lib64/libpcre.so.1.2.12","no package identified in executable file"
"/usr/lib64/gawk/filefuncs.so","no package identified in executable file"
"/usr/lib64/libcurl.so.4.7.0","no package identified in executable file"
"/usr/lib64/libmemusage.so","no package identified in executable file"
"/usr/lib64/libtirpc.so.3.0.0","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_spinlock_wait.so","no package identified in executable file"
"/usr/bin/find","no package identified in executable file"
"/usr/bin/mysql-secret-store-login-path","no package identified in executable file"
"/usr/lib64/libm.so.6","no package identified in executable file"
"/usr/lib64/libmount.so.1.1.0","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_seed_sequences.so","no package identified in executable file"
"/usr/bin/rpmkeys","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_proto.so","no package identified in executable file"
"/usr/lib64/librpm.so.9.1.3","no package identified in executable file"
"/usr/lib64/mysql/plugin/rewrite_example.so","no package identified in executable file"
"/usr/lib64/sasl2/libanonymous.so.3.0.0","no package identified in executable file"
"/usr/bin/coreutils","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_crc32c.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_statusor.so","no package identified in executable file"
"/usr/lib64/libslapi.so.2.0.200","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_parse.so","no package identified in executable file"
"/usr/libexec/scdaemon","no package identified in executable file"
"/usr/sbin/g13-syshelp","no package identified in executable file"
"/usr/bin/zstd","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_log_sink_set.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_cordz_handle.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_crc32c.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_hash.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_periodic_sampler.so","no package identified in executable file"
"/usr/bin/bzip2recover","no package identified in executable file"
"/usr/bin/sed","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_program_name.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_uuid.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/fcntl.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/libexec/mysqlsh/mysql_config_editor","no package identified in executable file"
"/usr/bin/dirmngr","no package identified in executable file"
"/usr/lib64/libmagic.so.1.0.0","no package identified in executable file"
"/usr/lib64/mysql/plugin/semisync_master.so","no package identified in executable file"
"/usr/libexec/awk/grcat","no package identified in executable file"
"/usr/lib64/mysql/plugin/rewriter.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_leak_check.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_blake2.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_malloc_internal.so","no package identified in executable file"
"/usr/lib/mysql/plugins/authentication_ldap_sasl_client.so","no package identified in executable file"
"/usr/lib64/libnss_compat.so.2","no package identified in executable file"
"/usr/lib64/librt.so.1","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_query_attributes.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_internal_log_sink_set.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_bad_variant_access.so","no package identified in executable file"
"/usr/bin/gpg-card","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_examine_stack.so","no package identified in executable file"
"/usr/lib64/libidn2.so.0.3.7","no package identified in executable file"
"/usr/lib64/libkrb5support.so.0.1","no package identified in executable file"
"/usr/lib64/libpsx.so.2.48","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_demangle_internal.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_flags_internal.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_symbolize.so","no package identified in executable file"
"/usr/lib64/gconv/UTF-16.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/spwd.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/zlib.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/gawk","no package identified in executable file"
"/usr/bin/pldd","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_debugging_internal.so","no package identified in executable file"
"/usr/lib/mysqlsh/libantlr4-runtime.so.4.10.1","no package identified in executable file"
"/usr/lib64/gconv/CP1252.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/authentication_kerberos_client.so","no package identified in executable file"
"/usr/lib64/security/pam_cap.so","no package identified in executable file"
"/usr/bin/mysql_tzinfo_to_sql","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_int128.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_raw_hash_set.so","no package identified in executable file"
"/usr/lib64/libgnutls.so.30.37.1","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_time_zone.so","no package identified in executable file"
"/usr/lib64/libcrypto.so.3.0.7","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_demangle_internal.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_socket.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_codecs_iso2022.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/tar","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_throw_delegate.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/keyring_udf.so","no package identified in executable file"
"/usr/lib64/pkcs11/p11-kit-trust.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_civil_time.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_format.so","no package identified in executable file"
"/usr/lib64/gconv/UNICODE.so","no package identified in executable file"
"/usr/lib64/libcom_err.so.2.1","no package identified in executable file"
"/usr/lib64/libgcrypt.so.20.4.0","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_raw_logging_internal.so","no package identified in executable file"
"/usr/bin/gio-querymodules-64","no package identified in executable file"
"/usr/lib/mysqlsh/libfido2.so.1.13.0","no package identified in executable file"
"/usr/bin/mysqladmin","no package identified in executable file"
"/usr/lib64/mysql/plugin/validate_password.so","no package identified in executable file"
"/usr/bin/bzip2","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_cordz_info.so","no package identified in executable file"
"/usr/lib64/libdrop_ambient.so.0.0.0","no package identified in executable file"
"/usr/lib64/libmvec.so.1","no package identified in executable file"
"/usr/lib64/libnss_systemd.so.2","no package identified in executable file"
"/usr/libexec/gpg-protect-tool","no package identified in executable file"
"/usr/lib64/libblkid.so.1.1.0","no package identified in executable file"
"/usr/lib64/libbrotlienc.so.1.0.9","no package identified in executable file"
"/usr/lib64/libsepol.so.2","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_bad_any_cast_impl.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_strings_internal.so","no package identified in executable file"
"/usr/lib64/libkrad.so.0.0","no package identified in executable file"
"/usr/lib64/libuuid.so.1.3.0","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_statistics.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/gpg-error","no package identified in executable file"
"/usr/lib64/gawk/ordchr.so","no package identified in executable file"
"/usr/lib64/libtinfo.so.6.2","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_city.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_cord_internal.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_usage_internal.so","no package identified in executable file"
"/usr/lib64/gawk/intdiv.so","no package identified in executable file"
"/usr/lib64/libcrypt.so.1.1.0","no package identified in executable file"
"/usr/lib64/libp11-kit.so.0.3.1","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/binascii.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/iconvconfig","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_strings.so","no package identified in executable file"
"/usr/lib64/libevent_core-2.1.so.7.0.1","no package identified in executable file"
"/usr/lib64/libhistory.so.8.1","no package identified in executable file"
"/usr/lib64/libnghttp2.so.14.20.1","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_internal_randen_hwaes_impl.so","no package identified in executable file"
"/usr/bin/cyrusbdb2current","no package identified in executable file"
"/usr/bin/localedef","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_die_if_null.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_check_op.so","no package identified in executable file"
"/usr/lib64/gconv/ISO8859-1.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_severity.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_internal_conditions.so","no package identified in executable file"
"/usr/libexec/gpg-pair-tool","no package identified in executable file"
"/usr/lib/mysql/plugins/authentication_webauthn_client.so","no package identified in executable file"
"/usr/lib64/gawk/revoutput.so","no package identified in executable file"
"/usr/lib64/libldap_r.so.2.0.200","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_bisect.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_sqlite3.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_base.so","no package identified in executable file"
"/usr/lib64/gawk/fnmatch.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_curses_panel.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/libSegFault.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_struct.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/engines-3/afalg.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/group_replication.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_codecs_tw.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_hashlib.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_hashtablez_sampler.so","no package identified in executable file"
"/usr/lib64/libpcre2-posix.so.3.0.2","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_symbolize.so","no package identified in executable file"
"/usr/lib64/mysql/private/libprotobuf-lite.so.24.4.0","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_codecs_jp.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/pyexpat.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/gpgtar","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_cord.so","no package identified in executable file"
"/usr/lib64/libmodulemd.so.2.13.0","no package identified in executable file"
"/usr/bin/rpm2archive","no package identified in executable file"
"/usr/lib64/mysql/private/libprotobuf.so.24.4.0","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_flags_config.so","no package identified in executable file"
"/usr/lib64/libdl.so.2","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_stacktrace.so","no package identified in executable file"
"/usr/bin/gpgsplit","no package identified in executable file"
"/usr/lib64/libevent_extra-2.1.so.7.0.1","no package identified in executable file"
"/usr/lib64/libgssapi_krb5.so.2.2","no package identified in executable file"
"/usr/lib64/libnettle.so.8.8","no package identified in executable file"
"/usr/sbin/alternatives","no package identified in executable file"
"/usr/sbin/sasldblistusers2","no package identified in executable file"
"/usr/bin/gpg-connect-agent","no package identified in executable file"
"/usr/bin/zdump","no package identified in executable file"
"/usr/lib/mysqlsh/yparser/mysql_9.0.so","no package identified in executable file"
"/usr/lib64/libpanelw.so.6.2","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_lsprof.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/libexec/dirmngr_ldap","no package identified in executable file"
"/usr/lib64/libreadline.so.8.1","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_crc_internal.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_status.so","no package identified in executable file"
"/usr/lib64/ossl-modules/fips.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/termios.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/chpasswd","no package identified in executable file"
"/usr/bin/g13","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_stacktrace.so","no package identified in executable file"
"/usr/lib64/libattr.so.1.1.2501","no package identified in executable file"
"/usr/lib64/libpcprofile.so","no package identified in executable file"
"/usr/lib64/mysql/private/libfido2.so.1.13.0","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_curses.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/gpgv","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_nullguard.so","no package identified in executable file"
"/usr/lib/mysqlsh/libprotobuf-lite.so.24.4.0","no package identified in executable file"
"/usr/lib64/libanl.so.1","no package identified in executable file"
"/usr/lib64/libpcreposix.so.0.0.7","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_initialize.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/parser.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/lastlog","no package identified in executable file"
"/usr/bin/xmlcatalog","no package identified in executable file"
"/usr/lib64/libevent_openssl-2.1.so.7.0.1","no package identified in executable file"
"/usr/lib64/libglib-2.0.so.0.6800.4","no package identified in executable file"
"/usr/lib64/libnss_files.so.2","no package identified in executable file"
"/usr/lib64/mysql/plugin/authentication_webauthn_client.so","no package identified in executable file"
"/usr/bin/xmlwf","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_leak_check.so","no package identified in executable file"
"/usr/lib64/libsqlite3.so.0.8.6","no package identified in executable file"
"/usr/lib64/mysql/plugin/mysql_native_password.so","no package identified in executable file"
"/usr/lib64/gawk/revtwoway.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/mysql_clone.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_debugging_internal.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_internal_globals.so","no package identified in executable file"
"/usr/lib64/gawk/fork.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/ddl_rewriter.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_config.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_globals.so","no package identified in executable file"
"/usr/lib64/liblua-5.4.so","no package identified in executable file"
"/usr/lib64/libpsl.so.5.3.3","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_log_filter_dragnet.so","no package identified in executable file"
"/usr/libexec/keyboxd","no package identified in executable file"
"/usr/sbin/getpcaps","no package identified in executable file"
"/usr/bin/gzip","no package identified in executable file"
"/usr/lib64/libhogweed.so.6.8","no package identified in executable file"
"/usr/lib64/mysql/plugin/authentication_ldap_sasl_client.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_entry.so","no package identified in executable file"
"/usr/lib64/libevent-2.1.so.7.0.1","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_internal_randen.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_log_internal_nullguard.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_internal_randen_hwaes.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_posixshmem.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/sbin/pwck","no package identified in executable file"
"/usr/bin/gpgparsemail","no package identified in executable file"
"/usr/bin/grep","no package identified in executable file"
"/usr/bin/newuidmap","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_usage.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_time_zone.so","no package identified in executable file"
"/usr/sbin/grpck","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/mmap.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/libpthread.so.0","no package identified in executable file"
"/usr/lib64/libsolvext.so.1","no package identified in executable file"
"/usr/lib64/libunistring.so.2.1.0","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_low_level_hash.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_statusor.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_opcode.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/libbrotlidec.so.1.0.9","no package identified in executable file"
"/usr/lib64/libksba.so.8.13.1","no package identified in executable file"
"/usr/sbin/mysqld","no package identified in executable file"
"/usr/bin/gpgme-json","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_city.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_internal_message.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_audit_api_message_emit.so","no package identified in executable file"
"/usr/bin/xargs","no package identified in executable file"
"/usr/lib64/libstdc++.so.6.0.29","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_queue.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/xxlimited.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib/mysql/plugins/mysql_native_password.so","no package identified in executable file"
"/usr/lib64/gawk/time.so","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_log_sink_syseventlog.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_reflection.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_gdbm.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_zoneinfo.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/gapplication","no package identified in executable file"
"/usr/lib64/engines-3/capi.so","no package identified in executable file"
"/usr/lib64/libresolv.so.2","no package identified in executable file"
"/usr/lib64/libsmartcols.so.1.1.0","no package identified in executable file"
"/usr/lib64/mysql/plugin/component_reference_cache.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_seed_gen_exception.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_flags_private_handle_accessor.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/audioop.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/ossaudiodev.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/libexec/p11-kit/p11-kit-remote","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_log_initialize.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_ctypes.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_crc_cord_state.so","no package identified in executable file"
"/usr/lib/mysqlsh/yparser/mysql_8.0.so","no package identified in executable file"
"/usr/lib64/liblber.so.2.0.200","no package identified in executable file"
"/usr/lib64/libexpat.so.1.8.10","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/grp.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/bin/watchgnupg","no package identified in executable file"
"/usr/bin/xmllint","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_flags_marshalling.so","no package identified in executable file"
"/usr/lib64/mysql/private/libabsl_random_internal_distribution_test_util.so","no package identified in executable file"
"/usr/bin/gsettings","no package identified in executable file"
"/usr/lib64/krb5/plugins/tls/k5tls.so","no package identified in executable file"
"/usr/lib64/python3.9/lib-dynload/_random.cpython-39-x86_64-linux-gnu.so","no package identified in executable file"
"/usr/lib/mysqlsh/libabsl_cord_internal.so","no package identified in executable file"
