"IMAGE","FILE","TASK",ERROR"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/apcu.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/bcmath.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/exif.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/ftp.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gd.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/gmp.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/imagick.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/intl.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/ldap.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/memcached.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/opcache.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pcntl.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/pdo_pgsql.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/redis.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/sodium.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/sysvsem.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20220829/zip.so","unknowns-labeler","no package identified in executable file"
"nextcloud:latest","/usr/src/nextcloud/apps/admin_audit/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/bruteforcesettings/vendor/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/circles/vendor/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/cloud_federation_api/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/comments/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/contactsinteraction/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/dashboard/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/dav/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/encryption/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/federatedfilesharing/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/federation/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files_external/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files_reminders/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files_sharing/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files_trashbin/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/files_versions/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/lookup_server_connector/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/oauth2/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/provisioning_api/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/related_resources/vendor/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/settings/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/sharebymail/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/systemtags/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/text/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/theming/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/twofactor_backupcodes/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/updatenotification/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/user_ldap/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/user_status/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/weather_status/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"nextcloud:latest","/usr/src/nextcloud/apps/workflowengine/composer/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
