"FILE","ERROR"
"/usr/local/openjdk-8/jre/lib/amd64/libsctp.so","no package identified in executable file"
"/usr/local/openjdk-8/demo/jvmti/minst/lib/libminst.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/native2ascii","no package identified in executable file"
"/usr/local/openjdk-8/bin/jstatd","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libj2gss.so","no package identified in executable file"
"/usr/local/openjdk-8/demo/jvmti/waiters/lib/libwaiters.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libsplashscreen.so","no package identified in executable file"
"/opt/nuxeo/server/nxserver/lib/javax.inject-1.jar","no package identified in archive"
"/var/lib/dpkg/info/bash.preinst","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libawt.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libinstrument.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjava.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/jfr","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libawt_xawt.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/wsimport","no package identified in executable file"
"/usr/local/openjdk-8/bin/jconsole","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/policytool","no package identified in executable file"
"/usr/local/openjdk-8/bin/idlj","no package identified in executable file"
"/usr/local/openjdk-8/bin/keytool","no package identified in executable file"
"/usr/local/openjdk-8/bin/clhsdb","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/orbd","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjsig.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjaas_unix.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/jstat","no package identified in executable file"
"/usr/local/openjdk-8/demo/jvmti/heapViewer/lib/libheapViewer.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/rmic","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libj2pcsc.so","no package identified in executable file"
"/usr/local/openjdk-8/lib/amd64/jli/libjli.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjsound.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libsunec.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjawt.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/keytool","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/servertool","no package identified in executable file"
"/usr/local/openjdk-8/bin/jjs","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/jjs","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/rmiregistry","no package identified in executable file"
"/usr/local/openjdk-8/bin/jhat","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/server/libjvm.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/servertool","no package identified in executable file"
"/usr/local/openjdk-8/bin/jps","no package identified in executable file"
"/usr/local/openjdk-8/bin/xjc","no package identified in executable file"
"/usr/local/openjdk-8/bin/jstack","no package identified in executable file"
"/usr/local/openjdk-8/lib/jexec","no package identified in executable file"
"/usr/local/openjdk-8/bin/rmid","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjpeg.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/jmap","no package identified in executable file"
"/usr/local/openjdk-8/bin/javadoc","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjava_crw_demo.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjdwp.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libsaproc.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libjsoundalsa.so","no package identified in executable file"
"/usr/local/openjdk-8/bin/orbd","no package identified in executable file"
"/usr/local/openjdk-8/bin/wsgen","no package identified in executable file"
"/usr/local/openjdk-8/bin/jcmd","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/jexec","no package identified in executable file"
"/usr/local/openjdk-8/lib/amd64/libjawt.so","no package identified in executable file"
"/usr/local/openjdk-8/demo/jvmti/versionCheck/lib/libversionCheck.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/lib/amd64/libfontmanager.so","no package identified in executable file"
"/usr/local/openjdk-8/jre/bin/unpack200","no package identified in executable file"
