"IMAGE","FILE","TASK",ERROR"
"open-liberty:latest","/opt/java/openjdk/bin/jextract","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/jitserver","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/jjs","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/jpackcore","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/orbd","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/pack200","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/policytool","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/rmid","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/servertool","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/tnameserv","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/bin/unpack200","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libcuda4j29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9dmp29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9gc29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9gc_full29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9gcchk29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9gcchk_full29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9hookable29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9jextract.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9jit29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9jnichk29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9jvmti29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9prt29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9shr29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9thr29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9trc29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9vm29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9vmchk29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9vrb29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9vrb_full29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libj9zlib29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libjclse29.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libjvm.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/default/libomrsig.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/j9vm/libjsig.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/j9vm/libjvm.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/jli/libjli.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libawt.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libdt_socket.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libfontmanager.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libhprof.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libinstrument.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libj2gss.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libj2pcsc.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libj2pkcs11.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjaas_unix.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjava.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjava_crw_demo.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjawt.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjdwp.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjncrypto.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjpeg.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjsdt.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjsig.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjsound.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/libjsoundalsa.so","unknowns-labeler","no package identified in executable file"
"open-liberty:latest","/opt/java/openjdk/lib/amd64/liblcms.so","unknowns-labeler","no package identified in executable file"
