"IMAGE","FILE","ERROR"
"openjdk:latest","/usr/java/openjdk-18/bin/jar","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jarsigner","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/javac","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/javadoc","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/javap","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jcmd","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jconsole","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jdb","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jdeprscan","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jdeps","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jfr","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jhsdb","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jimage","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jinfo","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jlink","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jmap","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jmod","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jpackage","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jps","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jrunscript","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jshell","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jstack","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jstat","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jstatd","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/jwebserver","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/keytool","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/rmiregistry","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/bin/serialver","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/lib/jexec","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/lib/jspawnhelper","no package identified in executable file"
"openjdk:latest","/usr/java/openjdk-18/lib/libattach.so","no package identified in executable file"
