"IMAGE","FILE","TASK",ERROR"
"orientdb:latest","/opt/java/openjdk/bin/appletviewer","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/clhsdb","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/extcheck","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/hsdb","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/idlj","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jar","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jarsigner","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/javac","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/javadoc","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/javah","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/javap","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jcmd","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jconsole","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jdeps","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jfr","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jhat","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jinfo","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jjs","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jmap","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jps","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jrunscript","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jsadebugd","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jstack","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jstat","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/jstatd","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/keytool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/native2ascii","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/orbd","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/pack200","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/policytool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/rmic","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/rmid","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/schemagen","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/serialver","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/servertool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/tnameserv","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/unpack200","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/wsgen","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/wsimport","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/bin/xjc","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/jjs","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/keytool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/orbd","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/pack200","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/policytool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/rmid","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/rmiregistry","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/servertool","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/tnameserv","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/bin/unpack200","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/jli/libjli.so","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/libattach.so","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/libawt.so","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/libawt_headless.so","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/libawt_xawt.so","unknowns-labeler","no package identified in executable file"
"orientdb:latest","/opt/java/openjdk/jre/lib/amd64/libdt_socket.so","unknowns-labeler","no package identified in executable file"
