"IMAGE","FILE","TASK",ERROR"
"owncloud:latest","/usr/local/bin/phpdbg","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/apcu.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/exif.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/gd.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/intl.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/ldap.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/memcached.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/opcache.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/pcntl.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/pdo_pgsql.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/pgsql.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/redis.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/sodium.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20170718/zip.so","unknowns-labeler","no package identified in executable file"
"owncloud:latest","/usr/src/owncloud/apps/market/vendor/composer/installed.json","php-composer-installed-cataloger","unable to determine packages"
"owncloud:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
