"FILE","ERROR"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/File/DosGlob/DosGlob.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Opcode/Opcode.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/SDBM_File/SDBM_File.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Fcntl/Fcntl.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/B/B.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/DB_File/DB_File.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/attributes/attributes.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Compress/Raw/Bzip2/Bzip2.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/PerlIO/mmap/mmap.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/threads/shared/shared.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Encode.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/KR/KR.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/threads/threads.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/PerlIO/encoding/encoding.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/EBCDIC/EBCDIC.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/GDBM_File/GDBM_File.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Unicode/Collate/Collate.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Sys/Syslog/Syslog.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/re/re.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Sys/Hostname/Hostname.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Data/Dumper/Dumper.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Math/BigInt/FastCalc/FastCalc.so","no package identified in executable file"
"/usr/local/lib/perl5/site_perl/5.40.0/x86_64-linux-gnu/auto/Net/SSLeay/SSLeay.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Hash/Util/Util.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/mro/mro.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/List/Util/Util.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Filter/Util/Call/Call.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Compress/Raw/Zlib/Zlib.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/PerlIO/via/via.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Byte/Byte.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/TW/TW.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Unicode/Normalize/Normalize.so","no package identified in executable file"
"/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Time/Piece/Piece.so","no package identified in executable file"
