"IMAGE","FILE","TASK",ERROR"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/CORE/libperl.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/B/B.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Compress/Raw/Bzip2/Bzip2.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Compress/Raw/Zlib/Zlib.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Cwd/Cwd.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/DB_File/DB_File.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Data/Dumper/Dumper.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Devel/Peek/Peek.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Digest/MD5/MD5.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Digest/SHA/SHA.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Byte/Byte.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/CN/CN.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/EBCDIC/EBCDIC.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Encode.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/JP/JP.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/KR/KR.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Symbol/Symbol.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/TW/TW.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Encode/Unicode/Unicode.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Fcntl/Fcntl.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/File/DosGlob/DosGlob.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/File/Glob/Glob.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Filter/Util/Call/Call.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/GDBM_File/GDBM_File.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Hash/Util/FieldHash/FieldHash.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/Hash/Util/Util.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/I18N/Langinfo/Langinfo.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/IO/IO.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/IPC/SysV/SysV.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/List/Util/Util.so","unknowns-labeler","no package identified in executable file"
"perl:latest","/usr/local/lib/perl5/5.40.0/x86_64-linux-gnu/auto/MIME/Base64/Base64.so","unknowns-labeler","no package identified in executable file"
