"FILE","ERROR"
"/usr/lib/bash/stat","no package identified in executable file"
"/usr/lib/libcrypto.so.3","no package identified in executable file"
"/usr/lib/libkrb5.so.3.3","no package identified in executable file"
"/usr/sbin/kdb5_util","no package identified in executable file"
"/usr/sbin/kproplog","no package identified in executable file"
"/usr/sbin/ldconfig","no package identified in executable file"
"/usr/bin/kswitch","no package identified in executable file"
"/usr/bin/ktutil","no package identified in executable file"
"/usr/lib/bash/csv","no package identified in executable file"
"/usr/lib/libnss_db.so.2","no package identified in executable file"
"/usr/lib/libsolv.so.1","no package identified in executable file"
"/usr/lib/libsoftokn3.so","no package identified in executable file"
"/usr/sbin/kpropd","no package identified in executable file"
"/usr/bin/tdnf-config","no package identified in executable file"
"/usr/lib/bash/basename","no package identified in executable file"
"/usr/lib/bash/strftime","no package identified in executable file"
"/usr/lib/bash/sync","no package identified in executable file"
"/usr/lib/libpsx.so.2.66","no package identified in executable file"
"/usr/lib/libnss_files.so.2","no package identified in executable file"
"/usr/lib/libverto.so.0.0","no package identified in executable file"
"/usr/lib/libreadline.so.8.2","no package identified in executable file"
"/usr/bin/dumpsolv","no package identified in executable file"
"/usr/bin/gss-client","no package identified in executable file"
"/usr/bin/kdestroy","no package identified in executable file"
"/usr/bin/repo2solv","no package identified in executable file"
"/usr/lib/libnss3.so","no package identified in executable file"
"/usr/lib/libnssutil3.so","no package identified in executable file"
"/usr/lib/librpm.so.9.4.1","no package identified in executable file"
"/usr/sbin/getcap","no package identified in executable file"
"/usr/bin/gencat","no package identified in executable file"
"/usr/bin/sclient","no package identified in executable file"
"/usr/lib/bash/head","no package identified in executable file"
"/usr/lib/krb5/plugins/kdb/db2.so","no package identified in executable file"
"/usr/lib/libm.so.6","no package identified in executable file"
"/usr/bin/locale","no package identified in executable file"
"/usr/lib/libthread_db.so.1","no package identified in executable file"
"/usr/lib/libutil.so.1","no package identified in executable file"
"/usr/lib/libnsl.so.1","no package identified in executable file"
"/usr/lib/libnss_hesiod.so.2","no package identified in executable file"
"/usr/lib/libsolvext.so.1","no package identified in executable file"
"/usr/bin/updateinfoxml2solv","no package identified in executable file"
"/usr/lib/bash/mkdir","no package identified in executable file"
"/usr/lib/libanl.so.1","no package identified in executable file"
"/usr/lib/libelf-0.189.so","no package identified in executable file"
"/usr/lib/libgcc_s.so.1","no package identified in executable file"
"/usr/lib/krb5/plugins/preauth/spake.so","no package identified in executable file"
"/usr/lib/libcrypt.so.1","no package identified in executable file"
"/usr/lib/libexpat.so.1.9.0","no package identified in executable file"
"/usr/bin/kvno","no package identified in executable file"
"/usr/bin/uuclient","no package identified in executable file"
"/usr/bin/zdump","no package identified in executable file"
"/usr/lib/bash/fdflags","no package identified in executable file"
"/usr/lib/liblzma.so.5.4.0","no package identified in executable file"
"/usr/sbin/kadmind","no package identified in executable file"
