"IMAGE","FILE","TASK",ERROR"
"piwik:latest","/usr/local/bin/phpdbg","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/apcu.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/gd.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/geoip.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/ldap.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/mysqli.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/opcache.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/pdo_mysql.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/redis.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/usr/local/lib/php/extensions/no-debug-non-zts-20160303/zip.so","unknowns-labeler","no package identified in executable file"
"piwik:latest","/var/lib/dpkg/info/bash.preinst","unknowns-labeler","no package identified in executable file"
