"FILE","ERROR"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/ct_run","no package identified in executable file"
"/opt/openssl/lib/ossl-modules/fips.so","no package identified in executable file"
"/opt/openssl/lib/libcrypto.so.3","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/inet_gethost","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/asn1-5.2.2/priv/lib/asn1rt_nif.so","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/escript","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/run_erl","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/to_erl","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/trace_file_drv.so","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/cpu_sup","no package identified in executable file"
"/opt/openssl/lib/engines-3/loader_attic.so","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/to_erl","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/erl_interface-5.5.1/bin/erl_call","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/erlc","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/erl_call","no package identified in executable file"
"/opt/openssl/lib/engines-3/afalg.so","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/crypto.so","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/yielding_c_fun","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/epmd","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/dialyzer","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/typer","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/erlc","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/erl_call","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/crypto_callback.so","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/otp_test_engine.so","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/escript","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/dyntrace.so","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/dialyzer","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/heart","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/typer","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/erl_child_setup","no package identified in executable file"
"/opt/openssl/lib/engines-3/capi.so","no package identified in executable file"
"/opt/openssl/lib/engines-3/padlock.so","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/memsup","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/run_erl","no package identified in executable file"
"/opt/openssl/lib/libssl.so.3","no package identified in executable file"
"/opt/erlang/lib/erlang/bin/ct_run","no package identified in executable file"
"/opt/openssl/lib/ossl-modules/legacy.so","no package identified in executable file"
"/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/trace_ip_drv.so","no package identified in executable file"
"/opt/erlang/lib/erlang/erts-14.2.5.2/bin/dyn_erl","no package identified in executable file"
