"IMAGE","FILE","TASK",ERROR"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/ct_run","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/dialyzer","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/erl_call","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/erlc","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/escript","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/run_erl","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/to_erl","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/bin/typer","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/ct_run","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/dialyzer","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/dyn_erl","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/epmd","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/erl_call","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/erl_child_setup","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/erlc","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/escript","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/heart","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/inet_gethost","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/run_erl","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/to_erl","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/typer","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/erts-14.2.5.3/bin/yielding_c_fun","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/asn1-5.2.2/priv/lib/asn1rt_nif.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/crypto.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/crypto_callback.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/crypto-5.4.2.1/priv/lib/otp_test_engine.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/erl_interface-5.5.1/bin/erl_call","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/cpu_sup","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/os_mon-2.9.1/priv/bin/memsup","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/dyntrace.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/trace_file_drv.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/erlang/lib/erlang/lib/runtime_tools-2.0.1/priv/lib/trace_ip_drv.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/engines-3/afalg.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/engines-3/capi.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/engines-3/loader_attic.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/engines-3/padlock.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/libcrypto.so.3","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/libssl.so.3","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/ossl-modules/fips.so","unknowns-labeler","no package identified in executable file"
"rabbitmq:latest","/opt/openssl/lib/ossl-modules/legacy.so","unknowns-labeler","no package identified in executable file"
