"IMAGE","FILE","TASK",ERROR"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/estree-walker/dist/esm/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/estree-walker/src/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/darwin-x64-72/fibers.node","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/darwin-x64-72/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/darwin-x64-83/fibers.node","cargo-auditable-binary-cataloger","rust cataloger: unable to read dependency information: unknown file format"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/darwin-x64-83/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/linux-x64-72-glibc/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/linux-x64-72-musl/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/linux-x64-83-glibc/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/linux-x64-83-musl/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/win32-x64-72/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/fibers/bin/win32-x64-83/fibers.node","unknowns-labeler","no package identified in executable file"
"rocket.chat:latest","/app/bundle/programs/server/node_modules/underscore/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: '1.13.6'"
"rocket.chat:latest","/app/bundle/programs/server/npm/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/npm/node_modules/@aws-crypto/ie11-detection/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/npm/node_modules/@aws-crypto/sha256-browser/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/npm/node_modules/@aws-crypto/sha256-browser/node_modules/tslib/test/validateModuleExportsMatchCommonJS/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
"rocket.chat:latest","/app/bundle/programs/server/npm/node_modules/@aws-crypto/sha256-js/node_modules/tslib/modules/package.json","javascript-package-cataloger","skipping package.json with insufficient package information: name: '', version: ''"
