"IMAGE","FILE","ERROR"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/bigdecimal.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/cgi/escape.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/continuation.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/coverage.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/date_core.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest/bubblebabble.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest/md5.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest/rmd160.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest/sha1.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/digest/sha2.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/big5.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/cesu_8.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/cp949.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/emacs_mule.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/encdb.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/euc_jp.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/euc_kr.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/euc_tw.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/gb18030.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/gb2312.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/gbk.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_1.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_10.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_11.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_13.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_14.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_15.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_16.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_2.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_3.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_4.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_5.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_6.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_7.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_8.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/iso_8859_9.so","no package identified in executable file"
"ruby:latest","/usr/local/lib/ruby/3.3.0/x86_64-linux/enc/koi8_r.so","no package identified in executable file"
