"FILE","ERROR"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/rust-lld","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/wasm-ld","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/bin/rustc","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/lld-link","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/librustc_driver-a30ca400d2857f33.so","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/libexec/rust-analyzer-proc-macro-srv","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/bin/rustdoc","no package identified in executable file"
"/usr/local/cargo/bin/cargo","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/ld64.lld","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/ld.lld","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/bin/cargo","no package identified in executable file"
"/usr/local/rustup/toolchains/1.80.1-x86_64-unknown-linux-gnu/lib/libLLVM.so.18.1-rust-1.80.1-stable","no package identified in executable file"
