"IMAGE","FILE","TASK",ERROR"
"rust:latest","/usr/local/cargo/bin/cargo","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/bin/cargo","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/bin/rustc","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/bin/rustdoc","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/libLLVM.so.18.1-rust-1.81.0-stable","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/librustc_driver-3f4ebb066deec3c0.so","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/ld.lld","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/ld64.lld","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/lld-link","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/gcc-ld/wasm-ld","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/lib/rustlib/x86_64-unknown-linux-gnu/bin/rust-lld","unknowns-labeler","no package identified in executable file"
"rust:latest","/usr/local/rustup/toolchains/1.81.0-x86_64-unknown-linux-gnu/libexec/rust-analyzer-proc-macro-srv","unknowns-labeler","no package identified in executable file"
