"IMAGE","FILE","TASK",ERROR"
"sentry:latest","/usr/local/bin/gosu","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/bin/tini","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/bin/uwsgi","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-6.0.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-6.0.exe","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-7.1.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-7.1.exe","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-8.0.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-8.0.exe","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-9.0-amd64.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-9.0-amd64.exe","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-9.0.exe","dotnet-portable-executable-cataloger","unable to find PE name in file"
"sentry:latest","/usr/local/lib/python2.7/distutils/command/wininst-9.0.exe","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_bisect.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_bsddb.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_cn.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_hk.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_iso2022.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_jp.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_kr.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_codecs_tw.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_collections.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_csv.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_ctypes.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_ctypes_test.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_curses.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_curses_panel.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_elementtree.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_functools.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_hashlib.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_heapq.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_hotshot.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_io.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_json.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_locale.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_lsprof.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_multibytecodec.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_multiprocessing.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_random.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_socket.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_sqlite3.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_ssl.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_struct.so","unknowns-labeler","no package identified in executable file"
"sentry:latest","/usr/local/lib/python2.7/lib-dynload/_testcapi.so","unknowns-labeler","no package identified in executable file"
